PlayerID,FullName,Team,Home,K,BB,BF,GamesPlayed,Date,K%,BB%,K-BB%
445995,Arturo Lopez,Yaquis de Obregon,False,1,2,16,1,2024-10-22,6.2,12.5,-6.3
445995,Arturo Lopez,Yaquis de Obregon,True,4,3,36,2,2024-10-25,11.1,8.3,2.799999999999999
465038,Alejandro Soto,Venados de Mazatlan,False,0,1,4,1,2024-10-20,0.0,25.0,-25.0
465038,Alejandro Soto,Venados de Mazatlan,True,0,2,8,2,2024-10-23,0.0,25.0,-25.0
465038,Alejandro Soto,Venados de Mazatlan,False,1,2,12,3,2024-10-25,8.3,16.7,-8.399999999999999
476594,Robert Stock,Naranjeros de Hermosillo,False,6,1,21,1,2024-10-16,28.6,4.8,23.8
476594,Robert Stock,Naranjeros de Hermosillo,True,8,4,45,2,2024-10-22,17.8,8.9,8.9
476594,Robert Stock,Naranjeros de Hermosillo,False,16,4,73,3,2024-10-25,21.9,5.5,16.4
477462,Esteban Haro,Mayos de Navojoa,True,1,0,3,1,2024-10-12,33.3,0.0,33.3
477462,Esteban Haro,Mayos de Navojoa,False,2,0,6,2,2024-10-13,33.3,0.0,33.3
477462,Esteban Haro,Mayos de Navojoa,False,2,0,10,3,2024-10-16,20.0,0.0,20.0
477462,Esteban Haro,Mayos de Navojoa,True,2,1,14,4,2024-10-19,14.3,7.1,7.200000000000001
477462,Esteban Haro,Mayos de Navojoa,True,2,1,18,5,2024-10-20,11.1,5.6,5.5
477462,Esteban Haro,Mayos de Navojoa,True,2,1,21,6,2024-10-25,9.5,4.8,4.7
477569,Fernando Salas,Naranjeros de Hermosillo,False,0,1,4,1,2024-10-12,0.0,25.0,-25.0
477569,Fernando Salas,Naranjeros de Hermosillo,False,1,1,7,2,2024-10-17,14.3,14.3,0.0
477569,Fernando Salas,Naranjeros de Hermosillo,True,1,1,12,3,2024-10-20,8.3,8.3,0.0
477569,Fernando Salas,Naranjeros de Hermosillo,True,2,1,15,4,2024-10-20,13.3,6.7,6.6000000000000005
477569,Fernando Salas,Naranjeros de Hermosillo,True,2,2,20,5,2024-10-22,10.0,10.0,0.0
477569,Fernando Salas,Naranjeros de Hermosillo,True,2,3,26,6,2024-10-24,7.7,11.5,-3.8
477569,Fernando Salas,Naranjeros de Hermosillo,False,2,3,29,7,2024-10-25,6.9,10.3,-3.4000000000000004
477584,Tomas Solis,Caneros de los Mochis,False,0,0,1,1,2024-10-12,0.0,0.0,0.0
477584,Tomas Solis,Caneros de los Mochis,True,0,0,2,2,2024-10-16,0.0,0.0,0.0
477584,Tomas Solis,Caneros de los Mochis,True,1,0,4,3,2024-10-17,25.0,0.0,25.0
477584,Tomas Solis,Caneros de los Mochis,False,1,1,7,4,2024-10-18,14.3,14.3,0.0
477584,Tomas Solis,Caneros de los Mochis,True,1,1,9,5,2024-10-22,11.1,11.1,0.0
477584,Tomas Solis,Caneros de los Mochis,False,1,1,13,6,2024-10-25,7.7,7.7,0.0
502515,Raul Barron,Naranjeros de Hermosillo,False,1,1,4,1,2024-10-16,25.0,25.0,0.0
502515,Raul Barron,Naranjeros de Hermosillo,False,1,1,8,2,2024-10-17,12.5,12.5,0.0
502515,Raul Barron,Naranjeros de Hermosillo,True,1,1,11,3,2024-10-20,9.1,9.1,0.0
502515,Raul Barron,Naranjeros de Hermosillo,False,2,1,12,4,2024-10-25,16.7,8.3,8.399999999999999
510552,Ozzie Mendez,Naranjeros de Hermosillo,True,1,0,5,1,2024-10-20,20.0,0.0,20.0
510552,Ozzie Mendez,Naranjeros de Hermosillo,True,1,0,6,2,2024-10-20,16.7,0.0,16.7
510552,Ozzie Mendez,Naranjeros de Hermosillo,True,1,0,7,3,2024-10-23,14.3,0.0,14.3
510552,Ozzie Mendez,Naranjeros de Hermosillo,True,1,0,8,4,2024-10-24,12.5,0.0,12.5
510552,Ozzie Mendez,Naranjeros de Hermosillo,False,3,1,12,5,2024-10-25,25.0,8.3,16.7
510554,Andres Ivan Meza,Venados de Mazatlan,True,0,0,3,1,2024-10-17,0.0,0.0,0.0
510554,Andres Ivan Meza,Venados de Mazatlan,False,0,0,9,2,2024-10-20,0.0,0.0,0.0
510554,Andres Ivan Meza,Venados de Mazatlan,False,0,0,11,3,2024-10-25,0.0,0.0,0.0
511648,Antonio Garzon,Charros de Jalisco,False,0,0,2,1,2024-10-18,0.0,0.0,0.0
511648,Antonio Garzon,Charros de Jalisco,False,0,1,4,2,2024-10-19,0.0,25.0,-25.0
511648,Antonio Garzon,Charros de Jalisco,False,1,1,6,3,2024-10-20,16.7,16.7,0.0
511648,Antonio Garzon,Charros de Jalisco,True,1,2,7,4,2024-10-23,14.3,28.6,-14.3
511648,Antonio Garzon,Charros de Jalisco,True,2,2,12,5,2024-10-24,16.7,16.7,0.0
511648,Antonio Garzon,Charros de Jalisco,False,2,3,14,6,2024-10-25,14.3,21.4,-7.099999999999998
518435,Manny Barreda,Tomateros de Culiacan,False,5,4,23,1,2024-10-17,21.7,17.4,4.300000000000001
518435,Manny Barreda,Tomateros de Culiacan,False,8,8,46,2,2024-10-24,17.4,17.4,0.0
518435,Manny Barreda,Tomateros de Culiacan,True,10,11,73,3,2024-10-25,13.7,15.1,-1.4000000000000004
527054,Julio Teheran,Charros de Jalisco,True,6,2,20,1,2024-10-23,30.0,10.0,20.0
527054,Julio Teheran,Charros de Jalisco,False,8,3,45,2,2024-10-25,17.8,6.7,11.100000000000001
532893,Ivan Salas,Sultanes de Monterrey,False,0,1,2,1,2024-10-11,0.0,50.0,-50.0
532893,Ivan Salas,Sultanes de Monterrey,True,0,1,3,2,2024-10-22,0.0,33.3,-33.3
532893,Ivan Salas,Sultanes de Monterrey,True,0,1,6,3,2024-10-24,0.0,16.7,-16.7
532893,Ivan Salas,Sultanes de Monterrey,False,0,1,7,4,2024-10-25,0.0,14.3,-14.3
