season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.667,2.45,189,0.271,0.258,0.286,0.544,6.8,1.13,0.19,7.36,6.0,0,0,9,3,1,2,3,0,8,0,2,25,1,0,0,341,88,144,19,65.0,14.5,3.656,3.2,19.0,0.005,0.167,0.063,32,17,10,46,4,0,21,14,MXC,451,118,195,107,SP,1,36,6,691,0.223,3,2,39,175,13,12,2.8,12.7,25.8,25.0,41.7,21.5,11.8,15.8,28.2,15.5,62.4
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,0.25,3.16,141,0.233,0.232,0.305,0.537,9.73,1.95,0.73,5.59,5.0,0,0,0,0,0,1,2,0,5,1,2,17,1,0,0,267,72,92,8,65.0,15.3,4.014,5.7,28.4,0.021,0.2,0.125,19,5,6,39,1,0,16,6,MXC,370,85,171,99,SP,3,40,8,566,0.18,1,1,23,128,13,13,15.0,12.7,27.0,21.7,48.9,23.9,5.4,22.7,30.2,17.5,60.3
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,0.0,6.29,108,0.348,0.368,0.473,0.841,8.88,4.07,1.48,9.99,2.18,0,0,4,3,5,0,0,0,5,0,3,11,0,0,0,180,44,72,14,59.0,18.16,4.093,10.2,22.2,0.037,0.458,0.183,15,7,0,23,10,0,14,3,MXC,262,61,123,79,SP,4,24,11,442,0.29,1,1,27,93,17,16,16.0,10.0,24.4,34.7,36.1,19.4,9.7,12.0,27.8,17.9,56.5
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,0.0,1.56,71,0.289,0.271,0.25,0.521,9.87,3.12,0.0,6.75,3.17,1,1,0,0,4,0,0,16,1,1,1,11,0,0,0,148,44,46,0,63.0,17.54,4.282,8.5,26.8,0.0,0.316,0.047,9,6,3,15,2,1,5,5,MXC,193,36,89,45,RP,0,19,6,304,0.203,0,0,13,64,3,3,0.0,14.5,29.7,23.9,43.5,17.4,15.2,18.3,29.3,14.8,50.7
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,4.96,68,0.34,0.324,0.397,0.721,7.16,2.2,0.0,9.37,3.25,0,0,3,0,6,1,0,0,6,1,1,8,2,0,0,123,33,50,9,63.0,16.53,3.971,5.9,19.1,0.0,0.308,0.127,6,4,3,20,3,0,9,5,MXC,170,40,80,47,SP,0,13,4,270,0.27,1,0,17,63,9,9,0.0,12.2,26.8,18.0,50.0,24.0,8.0,13.2,29.6,17.4,58.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,0.0,3.21,63,0.382,0.377,0.275,0.652,10.93,5.14,0.0,8.36,2.13,5,2,10,4,1,1,0,2,1,0,1,8,2,0,0,102,24,36,9,59.0,18.43,4.095,12.7,27.0,0.0,0.471,0.02,4,3,0,16,1,0,7,5,MXC,151,33,69,45,RP,0,17,8,258,0.255,2,0,13,51,5,4,0.0,9.3,23.5,13.9,58.3,19.4,8.3,14.3,26.7,17.4,52.4
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,10.8,20,0.286,0.4,0.267,0.667,5.4,10.8,0.0,10.80,0.5,7,3,7,4,1,0,0,1,0,0,0,3,2,0,0,31,4,14,0,53.0,23.4,3.9,20.0,10.0,0.0,2.0,0.0,3,0,1,6,0,0,2,2,MXC,41,8,14,10,RP,0,2,4,78,0.267,0,1,4,15,4,3,0.0,5.1,12.9,21.4,57.1,21.4,0.0,-10.0,17.9,12.8,40.0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,1.69,64,0.267,0.266,0.185,0.451,14.06,4.5,0.0,4.50,3.13,1,0,1,1,1,1,0,2,0,1,0,6,2,0,0,152,51,30,13,65.0,18.81,4.703,12.5,39.1,0.0,0.32,0.037,10,7,1,4,1,0,3,4,MXC,195,38,90,39,RP,0,25,8,301,0.148,1,1,8,54,3,3,0.0,16.9,33.6,36.7,26.7,13.3,23.3,26.6,29.9,13.0,59.4
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,1.0,8.68,46,0.324,0.391,0.425,0.816,4.82,3.86,0.96,11.57,1.25,9,6,7,6,2,0,0,3,2,0,0,6,2,0,0,70,13,35,9,61.0,15.86,3.217,8.7,10.9,0.022,0.8,0.125,5,4,2,12,2,0,5,5,MXC,91,27,34,21,RP,1,5,4,148,0.3,2,0,12,40,9,8,14.3,8.8,18.6,20.0,48.6,20.0,11.4,2.2,23.0,14.2,58.7
2024,673,Aguilas de Mexicali,676362,Gabriel Ponce,1,,0.0,30,0.267,0.207,0.148,0.355,13.5,2.25,0.0,4.50,6.0,3,0,2,0,1,0,0,1,0,0,0,2,1,0,0,68,21,16,8,69.0,15.13,4.033,6.7,40.0,0.0,0.167,0.0,3,1,1,7,1,0,1,2,MXC,83,17,36,15,"SP, RP",0,12,2,121,0.148,0,0,4,27,0,0,0.0,17.4,30.9,25.0,56.2,12.5,6.2,33.3,29.8,12.4,56.7
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,5.0,38,0.238,0.27,0.219,0.489,11.0,4.0,0.0,5.00,2.75,5,2,3,2,3,0,0,1,2,0,0,4,1,0,0,66,19,22,2,63.0,18.0,4.263,10.5,28.9,0.0,0.364,0.063,2,2,2,11,1,0,2,2,MXC,102,20,54,35,RP,0,11,4,162,0.156,1,0,5,32,5,5,0.0,11.7,28.8,13.6,59.1,18.2,9.1,18.4,33.3,21.6,52.6
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,2.4,58,0.25,0.263,0.25,0.513,7.2,3.0,0.0,6.00,2.4,14,3,2,1,2,0,0,2,3,0,2,7,1,0,0,112,34,41,8,62.0,15.2,3.931,8.6,20.7,0.0,0.417,0.058,9,6,1,15,1,0,5,4,MXC,142,36,63,29,RP,0,12,5,228,0.192,0,0,10,52,4,4,0.0,14.9,30.4,24.4,46.3,14.6,14.6,12.1,27.6,12.7,62.1
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,0.5,4.25,174,0.281,0.312,0.39,0.702,6.8,3.19,0.85,8.08,2.13,0,0,1,0,4,2,2,0,8,1,4,24,0,0,0,273,53,126,19,59.0,15.66,3.81,8.6,18.4,0.023,0.469,0.143,26,9,6,47,7,0,16,15,MXC,394,106,173,120,SP,4,32,15,663,0.247,1,3,38,154,20,19,12.1,8.0,19.4,26.2,49.2,17.5,7.1,9.8,26.1,18.1,60.9
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,1.0,3.46,52,0.273,0.275,0.289,0.564,9.0,2.77,0.69,6.92,3.25,9,4,4,2,0,1,0,3,0,0,0,9,1,0,0,99,29,35,3,66.0,15.62,3.904,7.7,25.0,0.019,0.308,0.067,6,1,5,13,1,1,5,3,MXC,171,40,75,41,RP,1,13,4,203,0.222,0,2,10,45,5,5,14.3,14.3,29.3,20.0,45.7,28.6,5.7,17.3,36.9,20.2,76.9
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,0.0,3.18,24,0.444,0.417,0.5,0.917,6.35,3.18,0.0,12.71,2.0,7,2,3,1,0,2,0,2,3,0,0,1,1,0,0,41,13,18,2,58.0,16.94,4.0,8.3,16.7,0.0,0.5,0.136,3,0,2,5,1,0,7,0,MXC,56,13,27,14,RP,0,4,2,96,0.364,0,0,8,22,2,2,0.0,13.5,31.7,22.2,27.8,50.0,0.0,8.4,28.1,14.6,54.2
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,,10.29,39,0.517,0.513,0.697,1.21,6.43,6.43,0.0,19.29,1.0,3,3,3,1,0,0,0,0,8,0,1,7,0,0,1,53,11,29,6,51.0,21.43,3.846,12.8,12.8,0.0,1.0,0.242,4,0,0,10,1,0,9,5,MXC,77,17,32,21,"SP, RP",0,5,5,150,0.455,0,1,15,33,8,8,0.0,7.3,20.8,17.2,51.7,31.0,0.0,0.0,21.3,14.0,43.6
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,0.0,11.57,26,0.375,0.538,0.444,0.982,3.86,11.57,0.0,11.57,0.33,0,0,2,2,0,0,0,1,2,0,2,6,0,0,0,34,8,16,0,54.0,19.71,3.538,23.1,7.7,0.0,3.0,0.111,3,1,1,5,2,0,1,3,MXC,50,15,23,15,RP,0,2,6,92,0.333,2,0,6,18,6,6,0.0,8.7,23.5,31.2,50.0,12.5,6.2,-15.4,25.0,16.3,57.7
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,,4.5,47,0.24,0.255,0.268,0.523,12.0,3.75,0.75,5.25,3.2,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,104,35,26,7,63.0,18.25,4.66,10.6,34.0,0.021,0.313,0.098,6,3,1,9,1,0,4,2,MXC,139,29,70,35,RP,1,16,5,219,0.171,0,1,7,41,6,5,14.3,16.0,33.7,26.9,42.3,19.2,11.5,23.4,32.0,16.0,61.7
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,0.0,5.91,55,0.394,0.418,0.457,0.875,10.13,5.91,0.84,11.81,1.71,14,5,9,1,2,0,0,1,4,0,0,5,2,1,0,95,26,34,1,58.0,22.22,4.309,12.7,21.8,0.018,0.583,0.152,5,0,1,14,2,0,7,5,MXC,137,30,67,41,RP,1,12,7,237,0.304,2,0,14,46,7,6,14.3,11.0,27.4,20.6,55.9,23.5,0.0,9.1,28.3,17.3,54.5
2024,673,Aguilas de Mexicali,820906,Reynaldo Alvarez,1,0.0,18.69,26,0.643,0.538,0.9,1.438,14.54,6.23,2.08,20.77,2.33,2,2,3,2,0,0,0,1,3,1,0,5,1,0,0,40,12,15,0,63.0,25.38,4.231,11.5,26.9,0.038,0.429,0.4,2,1,1,1,4,0,4,2,MXC,69,16,39,27,"SP, RP",1,7,3,110,0.5,1,2,10,20,9,8,16.7,10.9,30.0,40.0,20.0,33.3,6.7,15.4,35.5,24.5,61.5
2024,673,Aguilas de Mexicali,829409,Sergio Garcia-Repper,1,,0.0,7,0.0,0.143,0.0,0.143,4.5,4.5,0.0,0.00,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,2,5,2,61.0,11.5,3.286,14.3,14.3,0.0,1.0,0.0,3,1,1,0,0,0,0,0,MXC,14,4,5,3,RP,0,1,1,23,0.0,0,0,0,6,0,0,0.0,8.7,18.2,60.0,0.0,20.0,20.0,0.0,21.7,13.0,57.1
2024,674,Charros de Jalisco,511648,Antonio Garzon,1,,6.0,39,0.364,0.395,0.387,0.782,9.0,4.0,1.0,9.00,2.25,16,3,8,4,0,1,0,3,0,0,2,7,0,0,0,70,17,24,3,59.0,17.78,4.103,10.3,23.1,0.026,0.444,0.097,6,1,1,7,4,0,2,3,JAL,94,23,40,23,RP,1,9,4,160,0.29,2,1,9,31,6,6,10.0,10.6,24.3,41.7,41.7,12.5,4.2,12.8,25.0,14.4,59.0
