season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,676,Mayos de Navojoa,674476,Jonathan Partida,1,,3.86,9,0.333,0.444,0.286,0.73,3.86,7.71,0.0,7.71,0.5,9,1,2,1,0,0,0,0,0,0,1,1,0,0,0,19,3,6,2,60.0,20.57,5.333,22.2,11.1,0.0,2.0,0.0,0,1,0,3,0,0,2,0,NAV,29,5,13,10,RP,0,1,2,48,0.286,,6.2,15.8,0.0,50.0,33.3,16.7,-11.1,27.1,20.8,55.6
2024,676,Mayos de Navojoa,677604,Damian Mendoza,1,,0.0,9,0.2,0.333,0.143,0.476,9.0,9.0,0.0,4.50,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,2,5,0,59.0,17.0,3.778,22.2,22.2,0.0,1.0,0.0,1,0,0,3,0,0,1,0,NAV,20,4,9,7,RP,0,2,2,34,0.143,0.0,5.9,15.4,20.0,60.0,20.0,0.0,0.0,26.5,20.6,44.4
2024,676,Mayos de Navojoa,679857,Carlos Tavera,1,0.0,2.63,58,0.189,0.293,0.25,0.543,7.24,5.27,0.66,5.27,1.38,0,0,1,0,2,0,1,0,1,0,2,9,0,1,0,89,18,38,1,59.0,16.61,3.914,13.8,19.0,0.017,0.727,0.083,8,5,3,14,4,0,2,2,NAV,133,32,58,40,SP,1,11,8,227,0.167,8.3,7.9,20.2,31.6,42.1,13.2,13.2,5.2,25.6,17.6,55.2
2024,676,Mayos de Navojoa,680653,Denny Roman,1,,5.4,9,0.333,0.5,0.6,1.1,0.0,10.8,0.0,10.80,0.0,4,1,3,1,0,0,0,0,1,0,0,3,0,0,0,21,5,7,0,62.0,22.2,4.111,22.2,0.0,0.0,,0.2,1,1,1,2,0,0,1,1,NAV,23,5,6,1,RP,0,0,2,37,0.4,0.0,13.5,23.8,14.3,42.9,28.6,14.3,-22.2,16.2,2.7,55.6
2024,676,Mayos de Navojoa,683030,Edwyn Valle,1,1.0,6.75,19,0.091,0.278,0.563,0.841,6.75,4.5,4.5,6.75,1.5,4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,32,11,14,4,66.0,16.0,3.368,10.5,15.8,0.105,0.667,0.375,3,0,1,7,3,0,0,0,NAV,42,9,21,10,RP,2,3,2,64,0.188,33.3,17.2,34.4,42.9,50.0,7.1,0.0,5.3,32.8,15.6,47.4
2024,676,Mayos de Navojoa,691823,Esteban Bloch,1,0.0,9.95,34,0.333,0.419,0.5,0.919,5.68,4.26,1.42,11.37,1.33,4,2,6,3,0,0,0,1,2,0,0,5,0,0,0,50,5,25,0,59.0,17.37,3.235,8.8,11.8,0.029,0.75,0.192,5,0,0,12,2,0,6,0,NAV,65,21,20,15,RP,1,4,3,110,0.308,14.3,4.5,10.0,28.0,48.0,24.0,0.0,3.0,18.2,13.6,61.8
2024,676,Mayos de Navojoa,703006,Jorge Sauceda,1,,12.0,17,0.417,0.563,0.846,1.409,0.0,6.0,3.0,18.00,0.0,0,0,1,1,0,0,0,1,2,0,1,3,0,0,0,32,4,14,0,61.0,23.0,4.059,11.8,0.0,0.059,,0.385,3,1,0,4,2,0,1,3,NAV,42,10,13,9,RP,1,0,2,69,0.462,20.0,5.8,12.5,35.7,50.0,7.1,7.1,-11.8,18.8,13.0,58.8
2024,676,Mayos de Navojoa,820829,Charlie Hasty,1,0.0,6.0,24,0.278,0.25,0.304,0.554,7.5,1.5,0.0,7.50,5.0,2,1,2,1,1,0,0,5,2,0,0,2,0,0,0,50,9,18,0,69.0,15.67,3.917,4.2,20.8,0.0,0.2,0.087,2,5,0,6,0,0,3,2,NAV,65,16,23,14,RP,0,5,1,94,0.217,0.0,9.6,18.0,11.1,44.4,16.7,27.8,16.6,24.5,14.9,66.7
2024,677,Naranjeros de Hermosillo,476594,Robert Stock,1,0.667,3.32,73,0.2,0.233,0.299,0.532,7.58,1.89,0.95,5.68,4.0,0,0,0,0,1,0,2,0,2,0,0,3,3,0,0,134,27,52,8,64.0,15.47,4.027,5.5,21.9,0.027,0.25,0.119,13,4,2,21,2,0,4,6,HER,188,47,80,53,SP,2,16,4,294,0.179,13.3,9.2,20.1,28.8,51.9,11.5,7.7,16.4,27.2,18.0,64.4
2024,677,Naranjeros de Hermosillo,477569,Fernando Salas,1,0.5,9.64,26,0.45,0.48,0.45,0.93,3.86,5.79,0.0,17.36,0.67,2,1,2,0,0,0,0,5,0,0,0,9,0,0,0,40,9,21,2,66.0,15.0,2.692,11.5,7.7,0.0,1.5,0.0,4,2,0,6,0,0,4,5,HER,46,17,15,6,RP,0,2,3,70,0.45,0.0,12.9,22.5,19.0,52.4,19.0,9.5,-3.8,21.4,8.6,65.4
2024,677,Naranjeros de Hermosillo,502515,Raul Barron,1,,6.75,12,0.25,0.273,0.4,0.673,6.75,3.38,0.0,6.75,2.0,4,0,2,1,0,0,0,1,0,1,0,3,0,0,0,21,2,9,3,67.0,15.75,3.5,8.3,16.7,0.0,0.5,0.2,2,2,1,2,1,0,0,1,HER,28,8,9,7,RP,0,2,1,42,0.2,0.0,4.8,9.5,33.3,33.3,11.1,22.2,8.4,21.4,16.7,66.7
2024,677,Naranjeros de Hermosillo,510552,Ozzie Mendez,1,,5.4,8,0.429,0.375,0.5,0.875,5.4,0.0,0.0,16.20,,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,13,4,7,0,68.0,18.6,3.875,0.0,12.5,0.0,,0.125,3,0,0,1,3,0,0,0,HER,21,5,11,7,RP,0,1,0,31,0.375,0.0,12.9,30.8,85.7,14.3,0.0,0.0,12.5,35.5,22.6,62.5
2024,677,Naranjeros de Hermosillo,594027,Tayron Guerrero,1,,6.75,20,0.231,0.35,0.25,0.6,6.75,4.5,0.0,6.75,1.5,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,39,9,13,1,64.0,20.0,4.0,10.0,15.0,0.0,0.667,0.063,4,0,0,6,3,0,0,0,HER,51,8,20,11,RP,0,3,2,80,0.188,0.0,11.2,23.1,53.8,46.2,0.0,0.0,5.0,25.0,13.8,40.0
2024,677,Naranjeros de Hermosillo,625068,Javier Rodriguez,1,,0.0,7,0.333,0.429,0.333,0.762,0.0,6.75,0.0,13.50,0.0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,13,2,6,1,54.0,21.0,4.0,14.3,0.0,0.0,,0.0,0,0,2,2,1,0,0,1,HER,15,5,4,2,RP,0,0,1,28,0.333,0.0,7.1,15.4,16.7,50.0,33.3,0.0,-14.3,14.3,7.1,71.4
2024,677,Naranjeros de Hermosillo,643494,A.J. Puckett,1,1.0,0.0,32,0.211,0.219,0.172,0.391,10.8,1.08,0.0,4.32,10.0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0,61,16,19,7,65.0,14.28,3.719,3.1,31.3,0.0,0.1,0.034,2,1,0,12,1,0,0,3,HER,77,18,32,16,RP,0,10,1,119,0.138,0.0,13.4,26.2,15.8,78.9,0.0,5.3,28.2,26.9,13.4,56.2
2024,677,Naranjeros de Hermosillo,643518,Jose Samayoa,1,,4.15,38,0.321,0.316,0.371,0.687,7.27,2.08,1.04,10.38,3.5,0,0,1,0,3,0,0,0,0,0,0,7,0,0,0,73,16,29,3,66.0,16.27,3.711,5.3,18.4,0.026,0.286,0.086,7,3,0,9,1,0,2,7,HER,93,25,35,19,SP,1,7,2,141,0.286,12.5,11.3,21.9,27.6,55.2,6.9,10.3,13.1,24.8,13.5,65.8
2024,677,Naranjeros de Hermosillo,658140,Wilmer Rios,1,1.0,1.8,19,0.25,0.263,0.222,0.485,3.6,1.8,0.0,7.20,2.0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,33,6,16,2,68.0,13.0,3.421,5.3,10.5,0.0,0.5,0.0,1,4,0,7,1,0,1,2,HER,44,11,17,11,SP,0,2,1,65,0.222,0.0,9.2,18.2,12.5,56.2,6.2,25.0,5.2,26.2,16.9,57.9
2024,677,Naranjeros de Hermosillo,660604,Alan Rangel,1,0.5,1.62,66,0.269,0.246,0.286,0.532,5.94,1.08,0.0,7.56,5.5,0,0,1,1,3,0,2,0,4,0,0,12,0,0,0,124,32,53,2,70.0,14.22,3.591,3.0,16.7,0.0,0.182,0.063,14,10,3,12,3,0,9,2,HER,165,40,73,41,SP,0,11,2,237,0.222,0.0,13.5,25.8,32.1,26.4,22.6,18.9,13.7,30.8,17.3,60.6
2024,677,Naranjeros de Hermosillo,668954,Curtis Taylor,1,0.0,5.73,48,0.379,0.354,0.455,0.809,10.64,3.27,1.64,10.64,3.25,0,0,0,0,1,2,0,0,1,0,1,10,2,0,0,96,25,31,5,65.0,17.0,3.896,8.3,27.1,0.042,0.308,0.159,6,3,1,8,2,0,7,4,HER,122,31,51,26,"SP, RP",2,13,4,187,0.295,25.0,13.4,26.0,25.8,38.7,25.8,9.7,18.8,27.3,13.9,64.6
2024,677,Naranjeros de Hermosillo,676689,Ricky Karcher,1,1.0,2.84,26,0.357,0.28,0.217,0.497,12.79,2.84,0.0,7.11,4.5,1,0,0,0,0,0,0,1,0,0,1,6,0,0,0,52,12,15,8,69.0,17.05,4.154,7.7,34.6,0.0,0.222,0.0,1,1,0,8,0,0,1,4,HER,74,16,34,22,RP,0,9,2,108,0.217,0.0,11.1,23.1,6.7,80.0,6.7,6.7,26.9,31.5,20.4,61.5
2024,677,Naranjeros de Hermosillo,681659,Jorge Rodriguez,1,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,67.0,18.0,6.0,0.0,0.0,0.0,,0.0,1,0,0,0,0,0,0,0,HER,4,1,2,2,RP,0,0,0,6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.3,33.3,100.0
2024,677,Naranjeros de Hermosillo,701432,Orlando Gonzalez,1,,27.0,9,0.833,0.75,1.0,1.75,9.0,0.0,0.0,45.00,,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,14,2,7,0,60.0,25.0,2.778,0.0,11.1,0.0,,0.286,1,0,0,1,1,0,1,3,HER,15,6,3,1,RP,0,1,0,25,0.714,0.0,8.0,14.3,28.6,57.1,14.3,0.0,11.1,12.0,4.0,66.7
2024,677,Naranjeros de Hermosillo,703716,Anibal Cervantes,1,,135.0,6,1.0,0.833,1.167,2.0,27.0,0.0,0.0,135.00,,0,0,2,2,1,0,0,0,2,0,0,2,0,0,0,7,2,5,0,69.0,39.0,2.167,0.0,16.7,0.0,,0.333,0,0,0,0,0,0,1,4,HER,9,2,4,2,RP,0,1,0,13,0.833,,15.4,28.6,0.0,80.0,20.0,0.0,16.7,30.8,15.4,33.3
2024,677,Naranjeros de Hermosillo,800078,Augusto Mendieta,1,,6.75,9,0.5,0.556,0.5,1.056,6.75,13.5,0.0,20.25,0.5,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,14,3,6,0,57.0,22.5,3.333,22.2,11.1,0.0,2.0,0.0,1,0,0,2,0,0,0,3,HER,17,7,6,3,RP,0,1,2,30,0.5,0.0,10.0,21.4,16.7,83.3,0.0,0.0,-11.1,20.0,10.0,77.8
2024,677,Naranjeros de Hermosillo,806517,Saul Arias,1,,7.71,11,0.286,0.455,0.667,1.122,3.86,3.86,3.86,11.57,1.0,4,2,1,1,0,1,0,0,0,0,0,1,0,0,0,16,1,8,0,59.0,17.57,3.727,9.1,9.1,0.091,1.0,0.333,3,0,1,1,2,0,0,1,HER,24,6,9,8,RP,1,1,1,41,0.333,20.0,2.4,6.2,62.5,25.0,12.5,0.0,0.0,22.0,19.5,54.5
2024,677,Naranjeros de Hermosillo,811370,Enrique Castillo,1,,0.0,3,0.5,0.667,0.5,1.167,0.0,27.0,0.0,27.00,0.0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,1,2,0,47.0,45.0,5.0,33.3,0.0,0.0,,0.0,1,0,0,0,0,0,1,0,HER,7,1,2,1,RP,0,0,1,15,0.5,0.0,6.7,16.7,50.0,0.0,50.0,0.0,-33.3,13.3,6.7,33.3
2024,678,Tomateros de Culiacan,518435,Manny Barreda,1,1.0,0.0,46,0.167,0.283,0.184,0.467,6.35,6.35,0.0,3.97,1.0,0,0,2,0,3,1,1,0,2,0,0,8,1,0,0,79,26,30,6,58.0,15.79,3.891,17.4,17.4,0.0,1.0,0.053,7,3,2,13,3,0,1,1,CUL,104,20,50,24,SP,0,8,8,179,0.132,0.0,14.5,32.9,33.3,46.7,10.0,10.0,0.0,27.9,13.4,43.5
2024,678,Tomateros de Culiacan,544365,Manny Bañuelos,1,,4.15,21,0.357,0.381,0.278,0.659,8.31,6.23,0.0,10.38,1.33,0,0,2,1,2,0,0,0,0,0,0,5,0,0,0,40,9,14,2,59.0,20.77,4.286,14.3,19.0,0.0,0.75,0.0,3,1,1,4,1,0,2,2,CUL,53,10,22,13,SP,0,4,3,90,0.278,0.0,10.0,22.5,28.6,42.9,21.4,7.1,4.7,24.4,14.4,47.6
2024,678,Tomateros de Culiacan,594105,Aldo Montes,1,1.0,3.6,49,0.342,0.417,0.452,0.869,2.7,3.6,0.9,12.60,0.75,0,0,1,0,1,0,1,0,2,0,1,7,1,0,0,74,7,40,4,57.0,18.2,3.714,8.2,6.1,0.02,1.333,0.119,5,3,3,15,0,0,14,0,CUL,104,27,36,29,SP,1,3,4,182,0.333,20.0,3.8,9.5,12.5,37.5,42.5,7.5,-2.1,19.8,15.9,55.1
2024,678,Tomateros de Culiacan,639238,Edgar Arredondo,1,0.0,6.75,38,0.484,0.528,0.531,1.059,1.13,3.38,0.0,16.88,0.33,0,0,4,2,1,1,0,0,2,0,3,10,0,0,0,64,6,33,3,58.0,17.75,3.737,7.9,2.6,0.0,3.0,0.063,4,2,1,11,1,1,8,5,CUL,82,21,23,17,SP,0,1,3,142,0.469,0.0,4.2,9.4,15.2,48.5,27.3,9.1,-5.3,16.2,12.0,55.3
