season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,4,4,26,22,1,4,0,1,15,4,0,13,1,0.171,76,0.222,0.263,0.485,1,2,66.7,2,318,0.42,21.2,2,0,0,0,0,0,1,0.78,81,65,4,0,0,190,0.6,1,0,0,0,20,1.18,1.0,14.68,0,3.75,6.23,1.66,5.4,0.42,0.42,0,0,0,0,0,MXC,21.666666666666668,1
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,11,0,3,14,1,0,0,0,15,5,1,3,0,0.088,34,0.2,0.088,0.288,1,0,0.0,0,203,0.82,11.0,3,0,0,1,6,1,1,0.73,40,33,11,0,0,127,0.63,0,0,1,0,3,0.21,1.0,18.45,0,3.0,12.27,4.09,2.45,0.82,0.0,0,0,0,0,1,MXC,11.0,0
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,11,0,12,11,1,0,0,0,9,6,0,6,0,0.162,37,0.279,0.162,0.441,0,3,100.0,1,196,0.82,11.0,0,0,9,9,0,0,1,1.09,44,33,11,0,0,116,0.59,0,0,0,0,6,1.09,,17.82,10,1.5,7.36,4.91,4.91,0.82,0.0,0,0,0,1,0,MXC,11.0,0
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,4,4,20,19,5,2,0,1,24,3,0,11,0,0.157,70,0.189,0.229,0.418,1,0,0.0,1,300,2.14,21.0,1,0,0,0,0,0,5,0.67,77,63,4,0,0,200,0.67,0,0,0,0,16,1.05,1.0,14.29,0,8.0,10.29,1.29,4.71,2.14,0.43,0,0,0,3,1,MXC,21.0,1
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,9,0,8,5,3,1,0,0,8,6,0,8,2,0.286,28,0.444,0.321,0.765,1,1,50.0,0,136,2.35,7.2,0,1,0,0,3,0,2,1.83,37,23,9,0,0,78,0.57,2,0,2,0,9,1.6,0.0,17.74,1,1.33,9.39,7.04,9.39,3.52,0.0,5,2,0,1,0,MXC,7.666666666666667,0
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,4,4,17,21,6,4,0,0,26,3,0,21,1,0.256,82,0.284,0.305,0.589,1,1,50.0,2,335,2.45,22.0,2,1,0,0,0,0,6,1.09,89,66,4,0,0,220,0.66,1,0,0,0,25,0.81,0.667,15.23,0,8.67,10.64,1.23,8.59,2.45,0.0,0,0,0,1,2,MXC,22.0,1
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,RP,2,0,4,4,1,1,0,1,0,0,0,3,0,0.273,11,0.273,0.636,0.909,0,0,,0,36,3.38,2.2,1,0,0,0,0,0,1,1.13,11,8,2,0,0,25,0.69,0,0,0,0,7,1.0,1.0,13.5,0,,0.0,0.0,10.13,3.38,3.38,3,3,0,0,0,MXC,2.6666666666666665,0
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,6,0,6,2,3,2,0,0,8,1,0,4,2,0.2,20,0.304,0.3,0.604,0,1,100.0,0,95,3.38,5.1,0,1,0,0,0,0,2,0.94,23,16,6,0,0,60,0.63,2,0,2,0,6,3.0,0.0,17.81,1,8.0,13.5,1.69,6.75,5.06,0.0,5,1,0,0,0,MXC,5.333333333333333,0
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,11,0,8,8,3,2,0,0,5,3,0,8,0,0.286,28,0.355,0.357,0.712,0,0,,1,112,3.52,7.2,2,0,0,0,4,0,3,1.43,32,23,11,0,0,73,0.65,0,0,1,0,10,1.0,1.0,14.61,2,1.67,5.87,3.52,9.39,3.52,0.0,9,2,0,1,0,MXC,7.666666666666667,0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,RP,4,0,7,3,2,0,0,1,5,2,1,4,0,0.222,18,0.3,0.389,0.689,0,0,,0,71,3.6,5.0,0,0,0,0,0,0,2,1.2,21,15,4,0,0,46,0.65,0,0,0,0,7,2.33,,14.2,2,2.5,9.0,3.6,7.2,3.6,1.8,4,3,0,1,0,MXC,5.0,0
