season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.5,3.18,69,0.419,0.294,0.344,0.638,12.18,1.06,0.0,9.53,11.5,0,0,5,1,1,1,1,0,4,0,2,9,0,0,0,141,46,44,9,68.0,15.94,3.928,2.9,33.3,0.0,0.087,0.063,7,4,2,13,0,0,11,7,MXC,183,44,86,40,SP,0,23,2,271,0.281,0.0,17.0,32.6,15.9,45.5,29.5,9.1,30.4,31.7,14.8,63.8
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,1.0,0.82,38,0.083,0.108,0.088,0.196,9.0,1.64,0.0,1.64,5.5,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,73,21,25,2,63.0,14.36,4.158,5.3,28.9,0.0,0.182,0.029,6,2,2,13,0,0,1,1,MXC,100,21,48,27,SP,0,11,2,158,0.059,0.0,13.3,28.8,24.0,56.0,12.0,8.0,23.6,30.4,17.1,55.3
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,,5.4,29,0.286,0.345,0.333,0.678,12.15,6.75,1.35,6.75,1.8,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,47,13,15,7,56.0,19.8,4.552,17.2,31.0,0.034,0.556,0.125,0,4,0,6,2,0,2,1,MXC,74,17,39,26,SP,1,9,5,132,0.208,50.0,9.8,27.7,13.3,46.7,13.3,26.7,13.8,29.5,19.7,58.6
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,1.5,25,0.278,0.292,0.227,0.519,6.0,3.0,0.0,7.50,2.0,0,0,0,0,1,0,0,6,0,0,0,4,0,0,0,49,11,19,0,61.0,17.17,4.12,8.0,16.0,0.0,0.5,0.0,3,4,1,6,0,1,3,1,MXC,63,8,25,14,RP,0,4,2,103,0.227,0.0,10.7,22.4,15.8,36.8,21.1,26.3,8.0,24.3,13.6,32.0
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,6.07,59,0.372,0.356,0.444,0.8,7.43,2.7,0.0,10.80,2.75,0,0,3,0,6,1,0,0,6,1,1,7,2,0,0,105,30,43,9,62.0,17.78,4.017,6.8,18.6,0.0,0.364,0.148,6,3,3,15,3,0,9,4,MXC,147,33,72,42,SP,0,11,4,237,0.296,0.0,12.7,28.6,20.9,44.2,27.9,7.0,11.8,30.4,17.7,55.9
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,,1.59,26,0.429,0.423,0.333,0.756,11.12,4.76,0.0,9.53,2.33,4,1,4,1,0,1,0,1,1,0,0,1,1,0,0,35,6,14,2,60.0,16.24,3.538,11.5,26.9,0.0,0.429,0.048,2,0,0,6,1,0,4,1,MXC,55,15,22,16,RP,0,7,3,92,0.286,0.0,6.5,17.1,21.4,50.0,28.6,0.0,15.4,23.9,17.4,57.7
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,3.38,13,0.273,0.308,0.273,0.581,3.38,3.38,0.0,10.13,1.0,3,2,2,1,0,0,0,1,0,0,0,3,1,0,0,23,1,11,0,60.0,19.5,4.0,7.7,7.7,0.0,1.0,0.0,3,0,1,4,0,0,2,1,MXC,31,6,9,8,RP,0,1,1,52,0.273,0.0,1.9,4.3,27.3,45.5,27.3,0.0,0.0,17.3,15.4,46.2
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.0,25,0.167,0.2,0.091,0.291,12.86,3.86,0.0,2.57,3.33,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,64,19,12,6,64.0,18.43,5.16,12.0,40.0,0.0,0.3,0.0,4,5,0,1,1,0,1,0,MXC,82,17,37,18,RP,0,10,3,129,0.091,0.0,14.7,29.7,41.7,8.3,8.3,41.7,28.0,28.7,14.0,68.0
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,8.1,16,0.4,0.4,0.273,0.673,16.2,8.1,0.0,5.40,2.0,2,1,2,1,0,0,0,0,1,0,0,1,1,0,0,33,14,6,1,62.0,22.2,4.625,18.8,37.5,0.0,0.5,0.091,1,0,0,3,0,0,1,1,MXC,46,7,27,13,RP,0,6,3,74,0.182,0.0,18.9,42.4,16.7,66.7,16.7,0.0,18.7,36.5,17.6,43.8
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,1.42,24,0.263,0.292,0.273,0.565,4.26,2.84,0.0,7.11,1.5,9,2,0,0,0,0,0,2,1,0,1,2,1,0,0,44,11,19,4,64.0,13.58,3.583,8.3,12.5,0.0,0.667,0.045,5,3,0,6,0,0,2,3,MXC,55,16,22,11,RP,0,3,2,86,0.227,0.0,12.8,25.0,26.3,47.4,10.5,15.8,4.2,25.6,12.8,66.7
