season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.667,2.45,89,0.362,0.284,0.305,0.589,10.64,1.23,0.0,8.59,8.67,0,0,5,1,1,1,1,0,4,0,2,11,0,0,0,164,48,59,11,66.0,15.23,3.764,3.4,29.2,0.0,0.115,0.049,13,5,3,17,1,0,12,8,MXC,220,53,102,54,SP,0,26,3,335,0.256,1,2,21,82,6,0.0,14.3,29.3,23.7,42.4,25.4,8.5,25.8,30.4,16.1,59.6
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,1.0,1.69,57,0.176,0.161,0.226,0.387,10.69,1.13,0.56,3.94,9.5,0,0,0,0,0,1,1,0,2,0,1,7,0,0,0,109,31,36,3,66.0,14.44,4.053,3.5,33.3,0.018,0.105,0.094,9,3,3,14,0,0,5,2,MXC,153,35,75,44,SP,1,19,2,231,0.132,0,1,7,53,3,11.1,13.4,28.4,25.0,44.4,22.2,8.3,29.8,32.5,19.0,61.4
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,,5.91,48,0.273,0.354,0.45,0.804,12.66,5.91,2.53,7.59,2.14,0,0,1,1,1,0,0,0,0,0,2,4,0,0,0,77,22,25,7,58.0,18.94,4.208,14.6,31.3,0.063,0.467,0.225,4,4,0,8,2,0,6,1,MXC,118,31,62,40,SP,3,15,7,202,0.225,1,0,9,40,7,50.0,10.9,28.6,24.0,36.0,24.0,16.0,16.7,30.7,19.8,64.6
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,0.9,41,0.214,0.3,0.176,0.476,5.4,5.4,0.0,5.40,1.0,0,0,0,0,3,0,0,9,0,0,1,7,0,0,0,84,19,29,0,58.0,18.2,4.439,14.6,14.6,0.0,1.0,0.0,5,5,1,12,0,1,4,1,MXC,106,17,41,22,RP,0,6,6,182,0.176,0,0,6,34,1,0.0,10.4,22.6,17.2,44.8,17.2,20.7,0.0,22.5,12.1,41.5
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,4.96,68,0.34,0.324,0.397,0.721,7.16,2.2,0.0,9.37,3.25,0,0,3,0,6,1,0,0,6,1,1,8,2,0,0,123,33,50,9,63.0,16.53,3.971,5.9,19.1,0.0,0.308,0.127,6,4,3,20,3,0,9,5,MXC,170,40,80,47,SP,0,13,4,270,0.27,1,0,17,63,9,0.0,12.2,26.8,18.0,50.0,24.0,8.0,13.2,29.6,17.4,58.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,0.0,3.68,36,0.4,0.457,0.333,0.79,8.59,7.36,0.0,9.82,1.17,5,2,7,2,1,1,0,1,1,0,0,4,2,0,0,50,9,21,2,58.0,17.73,3.611,16.7,19.4,0.0,0.857,0.037,3,2,0,8,1,0,5,2,MXC,75,19,30,21,RP,0,7,6,130,0.296,2,0,8,27,3,0.0,6.9,18.0,19.0,47.6,23.8,9.5,2.7,23.1,16.2,52.8
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,10.8,18,0.286,0.333,0.267,0.6,5.4,5.4,0.0,10.80,1.0,5,2,5,4,1,0,0,1,0,0,0,3,2,0,0,31,4,14,0,58.0,20.7,3.833,11.1,11.1,0.0,1.0,0.0,3,0,1,6,0,0,2,2,MXC,40,8,13,9,RP,0,2,2,69,0.267,0,1,4,15,4,0.0,5.8,12.9,21.4,57.1,21.4,0.0,0.0,18.8,13.0,44.4
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.0,34,0.125,0.147,0.065,0.212,13.5,2.7,0.0,1.80,5.0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,89,30,16,10,64.0,18.1,5.324,8.8,44.1,0.0,0.2,0.0,6,6,0,2,1,0,1,0,MXC,115,19,55,25,RP,0,15,3,181,0.065,0,0,2,31,0,0.0,16.6,33.7,43.8,12.5,6.2,37.5,35.3,30.4,13.8,55.9
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,1.0,3.38,11,0.2,0.273,0.636,0.909,0.0,0.0,3.38,10.13,,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,22,2,11,5,69.0,13.5,3.273,0.0,0.0,0.091,,0.364,1,3,0,4,1,0,2,0,MXC,25,8,5,3,RP,1,0,0,36,0.273,0,0,3,11,1,50.0,5.6,9.1,18.2,36.4,18.2,27.3,0.0,13.9,8.3,72.7
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,5.06,23,0.3,0.318,0.222,0.54,13.5,5.06,0.0,5.06,2.67,4,2,2,1,0,0,0,1,1,0,0,3,1,0,0,43,16,11,1,63.0,18.38,4.261,13.0,34.8,0.0,0.375,0.056,1,1,1,5,0,0,1,2,MXC,62,11,35,19,RP,0,8,3,98,0.167,1,0,3,18,3,0.0,16.3,37.2,9.1,63.6,18.2,9.1,21.8,35.7,19.4,47.8
