season,Name,player_id,team,POS,G,GPitched,IP_corrected,HR,K,BB,HBP,ER,FIP,ERA,FB,FB_PO,FO,flyHits,popOuts,popHits,IP_nonzero,x_FIPFB,x_FIPFBPO
2024,Ulises Lopez,666510,OBR,P,6,6,9.0,1,9,2,0,1,2.968390575610275,1.0,3,3,3,0,0,0,9.0,2.0278221001580783,2.2228708623486257
2024,Dalton Rodriguez,631229,NAV,P,6,6,26.666666666666668,1,14,5,1,15,2.9697794644991635,5.0625,22,30,16,6,7,1,26.666666666666668,3.7293724877549774,4.841150432241099
2024,Grant Gavin,667050,GSV,P,7,7,33.666666666666664,2,29,11,1,15,2.9760913456872826,4.00990099009901,21,31,16,5,10,0,33.666666666666664,3.14671073320743,4.134507187271441
2024,A.J. Puckett,643494,HER,P,15,15,21.666666666666668,1,23,8,4,4,2.995741002960702,1.6615384615384614,9,12,7,2,3,0,21.666666666666668,3.0236479797048883,3.557031325541347
2024,Pablo Tellez,701063,MAZ,P,6,6,27.0,2,23,7,1,9,3.0054276126473116,3.0,19,29,16,3,10,0,27.0,3.1062028064457614,4.294555450162246
2024,Raul Carrillo,585132,MAZ,P,5,5,24.666666666666668,1,18,8,1,5,3.019441626661326,1.8243243243243241,16,22,14,2,6,0,24.666666666666668,3.472929998754349,4.3625105019882655
2024,Jose Isidro Marquez,667904,MXC,P,14,14,12.0,0,14,8,2,4,3.02394613116583,3.0,5,8,4,1,3,0,12.0,3.6537910924061405,4.421795593531422
2024,Odrisamer Despaigne,628333,OBR,P,7,7,38.333333333333336,1,28,14,3,18,3.065975116673077,4.226086956521739,31,41,18,13,10,0,38.333333333333336,3.9492915979673135,4.969481428033525
2024,Fernando Lozano,683138,MXC,P,6,6,32.666666666666664,2,23,8,1,10,3.071565178784878,2.7551020408163267,25,32,21,4,7,0,32.666666666666664,3.4325049035119783,4.32962969491391
2024,Ariel Gracia,622739,GSV,P,5,5,13.333333333333334,0,9,7,0,10,3.082279464499164,6.75,8,14,6,2,6,0,13.333333333333334,3.98925620868521,5.28389236772497
2024,Edgar Torres,664475,MTY,P,7,7,39.333333333333336,1,23,13,1,14,3.0860930238211974,3.2033898305084745,44,48,36,8,4,0,39.333333333333336,4.446558140100267,5.314359836287025
2024,Erick Preciado,692940,NAV,P,5,5,8.666666666666666,1,10,2,1,3,3.0880486952683945,3.115384615384616,10,11,8,2,1,0,8.666666666666666,3.332234741780023,4.24933901784904
2024,Dario Gardea,677915,JAL,P,9,9,8.333333333333334,0,8,4,2,0,3.097279464499164,0.0,5,8,4,1,3,0,8.333333333333334,4.00425620868521,5.110182690305615
2024,Tomas Solis,477584,MOC,P,14,14,8.333333333333334,0,2,2,0,0,3.097279464499164,0.0,3,8,3,0,5,0,8.333333333333334,3.641465511010791,5.110182690305615
2024,Alex Valverde,663820,NAV,P,8,8,8.0,0,11,8,0,3,3.1072794644991637,3.375,1,2,0,1,1,0,8.0,3.296232952871257,3.6314730128862607
2024,Daniel De La Fuente,675880,OBR,P,9,9,18.0,1,16,8,0,1,3.1350572422769414,0.5,12,19,10,2,7,0,18.0,3.420586958039215,4.626096668800239
2024,Daniel Cruz,690909,MXC,P,9,9,10.666666666666666,1,11,4,0,4,3.1385294644991637,3.375,5,7,4,1,1,1,10.666666666666666,2.6283550458945126,3.2957875290152927
2024,Jorge Perez,656839,GSV,P,5,5,26.0,1,13,6,1,12,3.164971772191471,4.153846153846154,26,33,20,6,7,0,26.0,4.176599679168215,5.326262094772116
2024,Luis Payan,674478,JAL,P,6,6,29.333333333333332,2,23,7,3,10,3.1981885554082545,3.0681818181818183,24,32,16,8,8,0,29.333333333333332,3.5486113883892267,4.599214948370132
2024,Jose Luis Reyes,692271,MXC,P,4,4,5.666666666666667,0,5,4,0,8,3.210220640969752,12.705882352941176,4,4,3,1,0,0,5.666666666666667,4.277252104718042,4.690296542298025
2024,Octavio Acosta,593594,NAV,P,6,6,24.333333333333332,0,12,11,0,14,3.227142478197794,5.178082191780822,21,29,20,1,8,0,24.333333333333332,4.531698069150327,5.72603774996094
2024,CD Pelham,641962,CUL,P,16,16,12.666666666666666,0,8,7,0,3,3.252016306604427,2.1315789473684212,10,14,8,2,4,0,12.666666666666666,4.445406759480804,5.569503573157907
2024,Omar Araujo,807586,MOC,P,6,6,26.666666666666668,1,22,13,1,8,3.269779464499164,2.6999999999999997,19,27,17,2,8,0,26.666666666666668,3.859314348220094,4.9052633354669055
2024,Adrian Hernandez,681753,MOC,P,8,8,7.0,0,3,2,1,2,3.285850893070592,2.571428571428571,3,6,3,0,2,1,7.0,3.933691424632054,5.083085916112067
2024,Felipe Gonzalez,542413,OBR,P,17,17,15.666666666666666,0,16,13,0,6,3.3040879751374614,3.4468085106382977,10,15,6,4,5,0,15.666666666666666,4.2689568519311285,5.3116377349178325
2024,Carlos Tavera,679857,NAV,P,7,7,36.0,3,36,16,1,5,3.3572794644991637,1.25,29,46,23,6,16,1,36.0,3.4916463895637633,4.95315760069988
2024,Samuel Zazueta,650980,OBR,P,16,16,15.666666666666666,1,10,4,1,0,3.367917762371504,0.0,10,20,10,0,10,0,15.666666666666666,3.5029994051226176,5.214863541369445
2024,Erick Casillas,667918,MAZ,P,17,17,13.666666666666666,0,13,8,3,6,3.3694745864503832,3.951219512195122,11,14,9,2,3,0,13.666666666666666,4.586150706699958,5.517389613987755
2024,Raul Barron,502515,HER,P,11,11,9.666666666666666,0,5,5,0,4,3.3745208438095085,3.724137931034483,6,11,3,3,5,0,9.666666666666666,4.312772648139902,5.760505270950777
2024,Ronald Medrano,642574,JAL,P,5,5,27.333333333333332,2,25,11,2,11,3.406059952304042,3.6219512195121952,23,30,19,4,7,0,27.333333333333332,3.7268200203698387,4.756177969613248
2024,Charlie Hasty,820829,NAV,P,15,15,16.666666666666668,0,10,10,0,5,3.457279464499164,2.6999999999999997,17,26,13,4,9,0,16.666666666666668,4.999139929615442,6.728247206434647
2024,Zach Willeman,657116,OBR,P,15,15,14.666666666666666,0,12,11,0,11,3.4709158281355275,6.75,10,15,6,4,5,0,14.666666666666666,4.501571219256035,5.615343980628197
2024,Rafael Cordova,622742,GSV,P,16,16,13.0,2,15,2,2,6,3.472664079883779,4.153846153846154,7,13,6,1,6,0,13.0,2.2866175682558723,3.569438273432166
2024,Fernando Olguin,683124,CUL,P,11,11,13.0,1,11,3,3,1,3.549587156806856,0.6923076923076923,6,12,6,0,6,0,13.0,3.247261575411507,4.485071027774597
2024,Luis Ivan Rodriguez,645179,JAL,P,6,6,33.0,4,28,6,3,10,3.554249161468861,2.7272727272727275,23,31,15,8,7,1,33.0,3.0320504299678035,3.9481885554082545
2024,Hector Villalobos,675188,MAZ,P,10,10,12.333333333333334,1,11,6,0,5,3.5870091942288935,3.6486486486486482,4,10,4,0,6,0,12.333333333333334,3.0232128397348643,4.233042324132991
2024,Saul Vazquez,678410,OBR,P,5,5,16.333333333333332,0,9,8,2,2,3.591973342050184,1.1020408163265307,12,19,11,1,7,0,16.333333333333332,4.702557110441261,6.031078016177901
2024,Darel Torres,665958,MOC,P,6,6,34.0,2,32,20,1,7,3.5925735821462226,1.852941176470588,27,43,25,2,16,0,34.0,4.028278096510108,5.479670356339771
2024,Victor Castaneda,674810,CUL,P,6,6,38.666666666666664,3,24,12,1,9,3.633141533464681,2.094827586206897,45,60,41,4,15,0,38.666666666666664,4.383742976928996,5.87813597172942
2024,Curtis Taylor,668954,HER,P,7,7,32.0,5,36,9,2,19,3.6697794644991637,5.34375,28,34,22,6,6,0,32.0,2.9612038831038148,3.8663520451443247
2024,Thomas McIlraith,641852,HER,P,7,7,6.0,0,5,2,3,1,3.690612797832497,1.5,8,10,8,0,1,1,6.0,5.706116673801489,7.185236453746476
2024,Sasagi Sanchez,653252,CUL,P,17,17,16.666666666666668,2,12,4,0,3,3.6972794644991636,1.6199999999999999,11,22,9,2,11,0,16.666666666666668,3.134953883103815,4.905021399983035
2024,Juan Gámez,670328,MOC,P,3,3,2.3333333333333335,0,2,2,0,0,3.714422321642021,0.0,0,1,0,0,1,0,2.3333333333333335,3.714422321642021,4.613039833162759
2024,Amilcar Gaxiola,554230,MAZ,P,4,4,4.666666666666667,0,1,0,2,3,3.714422321642021,5.785714285714285,3,6,1,2,3,0,4.666666666666667,4.686183118984213,6.410274856204232
2024,Kevin Ribon,691714,GSV,P,3,3,2.3333333333333335,0,2,1,1,3,3.714422321642021,11.57142857142857,1,1,0,1,0,0,2.3333333333333335,4.362262853203482,4.613039833162759
2024,Norge Ruiz,650204,MTY,P,1,1,2.3333333333333335,0,2,2,0,4,3.714422321642021,15.428571428571427,3,4,3,0,1,0,2.3333333333333335,5.657943916326406,7.30889236772497
2024,Ricardo Chapa,701013,MTY,P,6,6,8.0,0,4,3,2,4,3.7322794644991637,4.5,6,7,5,1,1,0,8.0,4.866000394731722,5.566956883854003
2024,Javier Solano,542279,MAZ,P,7,7,39.333333333333336,3,21,13,0,19,3.772533701787299,4.347457627118644,42,62,35,7,20,0,39.333333333333336,4.395119432965856,6.086093023821197
2024,Manny Barreda,518435,CUL,P,6,6,36.0,1,23,22,0,7,3.77394613116583,1.75,25,36,21,4,11,0,36.0,4.462576622121903,5.509609213603107
2024,Edwin Cervantes,800099,GSV,P,5,5,4.333333333333333,0,4,2,2,0,3.780356387576087,0.0,2,4,2,0,2,0,4.333333333333333,4.478030806180739,5.715840258543829
2024,Angel Lopez,810862,MXC,P,12,12,9.0,1,11,4,2,4,3.8572794644991637,4.0,7,7,5,2,0,0,9.0,3.5885456143699646,4.043659392814575
2024,Arturo Lopez,445995,OBR,P,5,5,23.0,1,8,8,1,10,3.900757725368729,3.9130434782608696,33,36,28,5,3,0,23.0,5.504397765813623,6.617447767444466
2024,Victor Buelna,684118,GSV,P,9,9,14.0,2,10,2,1,5,3.928708035927735,3.2142857142857144,8,17,7,1,9,0,14.0,2.9353525542001604,4.6176481280936335
2024,Jesus Broca,695871,GSV,P,11,11,8.333333333333334,0,6,6,1,4,3.9372794644991638,4.32,5,7,5,0,2,0,8.333333333333334,4.84425620868521,5.698569787079808
2024,DJ Johnson,597113,MOC,P,7,7,5.333333333333333,0,3,2,2,5,3.9822794644991637,8.4375,1,1,1,0,0,0,5.333333333333333,4.265709697057304,4.375424625789487
2024,J.P. Woodward,694756,MAZ,P,18,18,16.0,0,9,11,1,8,3.9822794644991637,4.5,8,12,5,3,4,0,16.0,4.738093417987535,5.554860109660454
2024,Ruben Salinas,693730,OBR,CF,8,8,4.333333333333333,0,2,1,2,4,4.011125618345318,8.307692307692308,0,0,0,0,0,0,4.333333333333333,4.011125618345318,4.011125618345318
2024,Edgar Arredondo,639238,CUL,P,5,5,23.666666666666668,0,7,11,3,13,4.04037805604846,4.943661971830985,17,23,13,4,5,1,23.666666666666668,5.126195285003585,6.078088187806751
2024,Ian Medina,826183,GSV,P,4,4,1.6666666666666665,0,2,2,0,1,4.057279464499164,5.4,1,2,1,0,1,0,1.6666666666666665,4.96425620868521,6.573408496757228
2024,Ricardo Estrada,698962,CUL,P,8,8,7.333333333333333,0,6,6,1,3,4.084552191771891,3.681818181818182,5,5,5,0,0,0,7.333333333333333,5.115207582892399,5.514170960100337
2024,Faustino Carrera,666627,MTY,P,6,6,31.333333333333332,4,25,10,3,17,4.165790102797036,4.882978723404256,24,38,19,5,14,0,31.333333333333332,3.6640582868643294,5.049111997100399
2024,Austin Hansen,667712,MTY,P,6,6,5.333333333333333,0,4,3,2,1,4.169779464499164,1.6875,4,6,4,0,2,0,5.333333333333333,5.3035003947317225,6.528650432241099
2024,Ronald Bolaños,671790,MOC,P,7,7,30.0,2,29,22,2,16,4.190612797832497,4.8,19,28,15,4,9,0,30.0,4.281310472251102,5.280935378477658
2024,Ivan Salas,532893,MTY,P,16,16,6.666666666666667,0,3,4,1,2,4.207279464499163,2.6999999999999997,6,6,3,3,0,0,6.666666666666667,5.567744580778234,6.094376238692711
2024,David Gutierrez,664823,CUL,P,16,16,11.666666666666666,2,11,3,1,3,4.228708035927735,2.3142857142857145,7,11,4,3,4,0,11.666666666666666,2.907113351542353,3.977095132701929
2024,Luis Escobar,650813,MAZ,P,6,6,30.666666666666668,3,13,10,0,9,4.259453377542642,2.641304347826087,37,47,28,9,10,0,30.666666666666668,4.81152617835154,6.201248608959192
2024,Alemao Hernandez,672598,JAL,P,6,6,31.0,3,17,12,1,11,4.276634303208841,3.1935483870967745,31,36,22,9,5,0,31.0,4.530197694056553,5.453533366684388
2024,Julio Teheran,527054,JAL,P,6,6,28.666666666666668,4,22,9,3,20,4.392163185429396,6.279069767441861,25,32,12,13,7,0,28.666666666666668,3.8964898484905106,4.918794843343875
2024,Jose Bravo,670986,CUL,P,4,4,17.333333333333332,4,20,5,0,11,4.414971772191471,5.711538461538463,14,15,10,4,1,0,17.333333333333332,2.6359020047496107,3.2294879012237296
2024,Carlos Bustamante,619854,NAV,P,16,16,16.666666666666668,3,14,5,0,5,4.417279464499163,2.6999999999999997,17,24,11,6,7,0,16.666666666666668,3.6191399296154425,5.096634303208841
2024,Zach Matson,670416,NAV,P,6,6,25.666666666666668,4,28,14,1,12,4.454682061901761,4.207792207792208,20,29,16,4,8,1,25.666666666666668,3.6065999114940297,4.797790566300588
2024,Dakota Chalmers,663793,GSV,P,6,6,27.333333333333332,4,32,17,2,12,4.503620927913798,3.951219512195122,18,25,12,6,7,0,27.333333333333332,3.5966441837277516,4.518963178110494
2024,Alex Speas,666208,MAZ,P,6,6,6.666666666666667,1,7,2,2,4,4.507279464499163,5.3999999999999995,8,9,6,2,1,0,6.666666666666667,4.371232952871257,5.387924625789486
2024,Fernando Salas,477569,HER,P,11,11,9.666666666666666,0,4,8,0,4,4.512451878292268,3.724137931034483,7,11,7,0,4,0,9.666666666666666,5.607078983344392,6.898436305433536
2024,Manuel Alvarez,676520,MOC,P,8,8,6.333333333333333,0,8,9,0,4,4.594121569762322,5.68421052631579,4,5,4,0,1,0,6.333333333333333,5.548833932063424,6.249469617300522
2024,Aldo Montes,594105,CUL,P,5,5,26.666666666666668,2,12,12,3,15,4.619779464499164,5.0625,20,27,16,4,7,0,26.666666666666668,4.778500394731722,5.767763335466905
2024,Manuel Castro,701195,GSV,P,2,2,1.6666666666666665,0,0,1,0,0,4.6572794644991635,0.0,1,2,1,0,1,0,1.6666666666666665,5.56425620868521,7.1734084967572285
2024,Juan Cossio,687455,GSV,P,9,9,13.0,1,8,9,0,2,4.7034333106530095,1.3846153846153846,10,16,9,1,6,0,13.0,4.866224008327428,6.2840784719433325
2024,Mario Perez,682961,MTY,P,12,12,9.666666666666666,0,6,7,3,6,4.719348430016405,5.586206896551724,9,11,6,3,2,0,9.666666666666666,6.126726136511995,7.1053328571576735
2024,Carlos Morales,676190,GSV,P,11,11,13.333333333333334,2,12,8,0,3,4.807279464499164,2.025,10,14,9,1,4,0,13.333333333333334,3.9910003947317216,5.05889236772497
2024,Manuel Chavez,623985,MXC,P,6,6,21.333333333333332,4,23,11,1,13,4.826029464499164,5.484375,21,27,13,8,6,0,21.333333333333332,3.8765381854293963,5.042259303208841
2024,Isaac Jimenez,645799,JAL,P,13,13,10.333333333333334,2,10,5,0,7,4.889537529015293,6.096774193548387,11,15,7,4,4,0,10.333333333333334,3.9825607848292464,5.417112971262951
2024,Jorge Rodriguez,681659,HER,P,6,6,9.333333333333334,2,8,3,0,2,4.892993750213449,1.9285714285714284,11,13,8,3,2,0,9.333333333333334,3.8888409262931836,5.02778637694156
2024,Alexis Vera,700063,MTY,P,10,10,10.666666666666666,1,6,6,1,5,4.919779464499164,4.21875,11,13,7,4,2,0,10.666666666666666,5.259895743568931,6.256473012886261
2024,Antonio Garzon,511648,JAL,P,13,13,8.0,1,7,4,2,6,4.982279464499164,6.75,9,10,6,3,1,0,8.0,5.057860859848001,5.978247206434648
2024,Vicente Valenzuela,685692,MOC,P,6,6,8.0,1,7,6,0,3,4.982279464499164,3.375,8,11,6,2,3,0,8.0,4.868907371475908,6.240343980628196
2024,Dauris Valdez,667378,MOC,P,3,3,2.3333333333333335,0,2,3,0,1,5.000136607356307,3.8571428571428568,3,4,3,0,1,0,2.3333333333333335,6.943658202040691,8.594606653439255
2024,Vidal Sotelo,691678,GSV,P,5,5,20.666666666666668,2,11,11,3,11,5.083085916112067,4.790322580645161,15,21,13,2,5,1,20.666666666666668,4.922170687304865,5.955614532137041
2024,Jose Luna,682779,MOC,P,11,11,6.666666666666667,0,3,6,1,0,5.107279464499164,0.0,2,3,2,0,1,0,6.666666666666667,5.560767836592188,6.050827851595938
2024,Manuel Urias,679893,MOC,P,5,5,12.0,2,10,7,0,15,5.107279464499164,11.25,11,13,7,4,2,0,12.0,4.326271712561179,5.212118174176583
2024,Dereck Rodríguez,605446,JAL,P,4,4,13.0,3,9,3,0,10,5.164971772191471,6.923076923076923,20,23,13,7,3,0,13.0,4.490553167540309,5.87464919154631
2024,Jose Albertos,666016,HER,P,4,4,4.666666666666667,0,2,4,1,2,5.2144223216420205,3.8571428571428568,2,2,2,0,0,0,4.666666666666667,5.862262853203482,6.113039833162759
2024,Mario Jimenez,671760,MXC,P,6,6,3.3333333333333335,0,2,4,0,3,5.257279464499163,8.1,3,3,3,0,0,0,3.3333333333333335,6.617744580778233,7.144376238692711
2024,Alexandro Tovalin,700071,MAZ,P,11,11,8.666666666666666,1,8,6,2,5,5.280356387576087,5.1923076923076925,5,5,3,2,0,0,8.666666666666666,4.652449410831901,4.990033806930926
2024,Francisco Rios,642590,MTY,P,8,8,7.0,0,2,7,0,3,5.285850893070592,3.8571428571428568,4,5,4,0,1,0,7.0,6.149638268485875,6.783546745605154
2024,Yamil Castillo,675132,MXC,P,7,7,8.0,1,4,3,2,6,5.357279464499164,6.75,5,9,4,1,4,0,8.0,4.677046906359629,6.0911504322411
2024,Ernesto Zaragoza,592889,OBR,P,6,6,4.0,1,6,3,0,3,5.357279464499164,6.75,5,6,2,3,1,0,4.0,3.996814348220094,5.252440754821744
2024,Reynaldo Alvarez,820906,MXC,P,4,4,4.333333333333333,1,7,3,1,8,5.395741002960703,16.615384615384617,6,7,2,4,1,0,4.333333333333333,4.488764258774656,5.782837777154251
2024,Sammy Tavarez,679013,MAZ,P,3,3,2.6666666666666665,0,1,3,0,2,5.482279464499164,6.75,6,7,4,2,1,0,2.6666666666666665,8.883442255196837,10.98631172256368
2024,Conner Menez,669214,CUL,P,4,4,19.333333333333332,2,14,18,0,10,5.546934636912956,4.655172413793104,14,20,10,4,6,0,19.333333333333332,5.296734155758185,6.371183802652668
2024,Ivan Zavala,570620,JAL,P,7,7,9.333333333333334,1,1,3,2,2,5.642993750213449,1.9285714285714284,18,24,14,4,6,0,9.333333333333334,7.165418999382885,9.64184167648073
2024,Geno Encina,664039,GSV,P,3,3,5.333333333333333,0,0,5,0,6,5.669779464499164,10.125,2,4,2,0,2,0,5.333333333333333,6.236639929615443,7.242360109660455
2024,Roel Ramírez,641995,CUL,P,3,3,1.0,0,0,1,0,2,5.857279464499164,18.0,1,1,1,0,0,0,1.0,7.368907371475908,7.954053658047551
2024,Jovany Lopez,571328,MAZ,P,2,2,0.3333333333333333,0,1,1,0,3,5.857279464499164,81.0,1,1,0,1,0,0,0.3333333333333333,10.392163185429396,12.147602045144325
2024,Ruben Reyes,666017,CUL,OF,6,6,5.333333333333333,1,4,3,1,2,6.044779464499164,3.375,3,6,2,1,3,0,5.333333333333333,4.457570162173582,5.966150432241099
2024,Ivan Izaguirre,703721,GSV,P,10,10,13.0,3,9,6,1,9,6.0880486952683945,6.230769230769231,13,16,8,5,3,0,13.0,4.599676602245139,5.668693856558717
2024,Javier Rodriguez,625068,HER,P,3,3,4.0,0,1,5,0,0,6.107279464499164,0.0,4,4,3,1,0,0,4.0,7.618907371475908,8.20405365804755
2024,Alberto Leyva,668155,JAL,P,12,12,7.333333333333333,1,8,8,1,5,6.130006737226436,6.136363636363637,4,6,4,0,2,0,7.333333333333333,5.1818037773955705,6.072821986493299
2024,Jonas Garibay,691388,MOC,P,5,5,6.666666666666667,2,5,2,0,3,6.1572794644991635,4.05,5,6,4,1,1,0,6.666666666666667,3.391000394731722,4.144376238692711
2024,Norman Elenes,553868,MTY,P,16,16,13.666666666666666,1,7,15,1,11,6.296303854743066,7.2439024390243905,11,14,6,5,3,0,13.666666666666666,6.561760462797519,7.4929993700853155
