season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,RP,7,0,11,9,7,2,0,1,4,3,0,9,2,0.273,33,0.368,0.424,0.792,0,1,100.0,0,123,6.75,8.0,1,0,0,0,0,0,6,1.5,38,24,7,0,0,75,0.61,2,0,2,0,14,1.22,1.0,15.38,2,1.33,4.5,3.38,10.13,7.88,1.13,9,6,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,RP,6,0,6,4,4,0,0,0,2,4,1,4,0,0.267,15,0.4,0.267,0.667,0,1,100.0,0,78,8.1,3.1,0,0,0,0,0,0,3,2.4,20,10,6,0,0,41,0.53,0,0,2,0,4,1.5,,23.4,1,0.5,5.4,10.8,10.8,10.8,0.0,7,3,0,0,1,MXC,0
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,RP,5,0,5,5,6,2,0,0,2,6,0,6,2,0.333,18,0.538,0.444,0.982,0,0,,2,92,11.57,4.2,0,1,0,0,0,0,6,2.57,26,14,5,0,0,50,0.54,2,0,0,0,8,1.0,0.0,19.71,1,0.33,3.86,11.57,11.57,11.57,0.0,0,0,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,"SP, RP",4,1,8,3,8,8,0,0,5,4,0,13,0,0.464,28,0.515,0.75,1.265,0,0,,0,133,12.71,5.2,0,0,0,0,0,0,8,3.0,33,17,4,0,0,68,0.51,0,0,0,1,21,2.67,,23.47,0,1.25,7.94,6.35,20.65,12.71,0.0,3,3,0,0,1,MXC,0
2024,673,Aguilas de Mexicali,820906,Reynaldo Alvarez,1,"SP, RP",4,1,1,4,9,3,1,1,7,3,0,10,1,0.5,20,0.538,0.9,1.438,0,0,,0,110,16.62,4.1,0,3,0,1,0,1,8,3.0,26,13,4,0,0,69,0.63,1,0,1,0,18,0.25,0.0,25.38,1,2.33,14.54,6.23,20.77,18.69,2.08,2,2,0,0,2,MXC,0
2024,674,Charros de Jalisco,677915,Dario Gardea,1,RP,9,0,7,9,1,1,0,0,8,4,0,6,2,0.2,30,0.333,0.233,0.566,0,0,,2,140,0.0,8.1,0,0,0,0,0,0,0,1.2,36,25,9,0,0,82,0.59,2,0,1,0,7,0.78,,16.8,6,2.0,8.64,4.32,6.48,1.08,0.0,0,0,0,0,0,JAL,0
2024,674,Charros de Jalisco,624647,Victor González,1,RP,2,0,3,1,0,0,0,0,0,0,0,0,0,0.0,4,0.0,0.0,0.0,0,0,,0,11,0.0,1.1,0,0,0,0,1,0,0,0.0,4,4,2,0,0,7,0.64,0,0,0,0,0,3.0,,8.25,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,JAL,0
2024,674,Charros de Jalisco,616617,Adrian Gusman,1,RP,12,0,16,10,0,0,0,0,10,1,0,4,0,0.1,40,0.122,0.1,0.222,0,0,,0,170,0.0,12.0,1,0,0,0,4,0,0,0.42,41,36,12,0,0,114,0.67,0,0,0,0,4,1.6,1.0,14.17,0,10.0,7.5,0.75,3.0,0.0,0.0,7,1,0,0,0,JAL,0
2024,674,Charros de Jalisco,802581,Alejandro Morales,1,RP,3,0,0,4,1,0,0,0,4,1,0,5,0,0.385,13,0.429,0.385,0.814,1,1,50.0,0,58,0.0,3.0,0,0,0,0,0,0,0,2.0,14,9,3,0,0,34,0.59,0,0,0,0,5,0.0,,19.33,0,4.0,12.0,3.0,15.0,3.0,0.0,1,1,0,0,0,JAL,0
2024,674,Charros de Jalisco,641461,Trevor Clifton,1,RP,11,0,12,9,2,3,0,0,14,4,0,10,0,0.244,41,0.304,0.317,0.621,0,1,100.0,1,183,0.73,12.1,2,1,3,3,0,0,1,1.14,49,37,11,0,0,110,0.6,0,0,1,0,13,1.33,0.667,14.84,10,3.5,10.22,2.92,7.3,1.46,0.0,4,2,0,3,1,JAL,0
