season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,3.52,32,0.348,0.355,0.357,0.712,5.87,3.52,0.0,9.39,1.67,9,2,2,1,0,0,0,2,2,0,1,4,1,0,0,56,13,24,4,65.0,14.61,3.5,9.4,15.6,0.0,0.6,0.071,5,3,0,8,0,0,4,4,MXC,73.0,21.0,30.0,17.0,RP,0,5,3,112,0.286,0,0,8,28,3,0.0,11.6,23.2,20.8,50.0,16.7,12.5,6.2,26.8,15.2,65.6
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,1.0,0.42,81,0.2,0.222,0.263,0.485,6.23,1.66,0.42,5.40,3.75,0,0,1,0,2,1,1,0,4,0,2,6,0,0,0,132,26,61,5,60.0,14.68,3.926,4.9,18.5,0.012,0.267,0.092,16,2,4,26,1,0,8,4,MXC,190.0,51.0,84.0,58.0,SP,1,15,4,318,0.171,1,0,13,76,1,5.9,8.2,19.7,27.9,49.2,19.7,3.3,13.6,26.4,18.2,63.0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,,3.6,21,0.25,0.3,0.389,0.689,9.0,3.6,1.8,7.20,2.5,4,3,0,0,0,0,0,2,0,0,0,4,0,0,0,32,6,14,1,65.0,14.2,3.381,9.5,23.8,0.048,0.4,0.167,2,0,1,7,0,0,3,1,MXC,83.0,24.0,31.0,20.0,RP,1,5,2,71,0.222,0,0,4,18,2,50.0,8.5,18.8,14.3,57.1,28.6,0.0,14.3,43.7,28.2,114.3
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,0.0,6.75,6,0.6,0.5,0.5,1.0,6.75,0.0,0.0,20.25,,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,10,2,5,1,64.0,16.5,3.667,0.0,16.7,0.0,,0.0,0,0,1,1,0,0,3,0,MXC,14.0,4.0,5.0,3.0,RP,0,1,0,22,0.5,0,0,3,6,1,,9.1,20.0,0.0,20.0,80.0,0.0,16.7,22.7,13.6,66.7
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,,40.5,5,0.6,0.6,1.2,1.8,0.0,0.0,0.0,40.50,,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,6,1,5,0,50.0,30.0,4.0,0.0,0.0,0.0,,0.6,0,0,0,2,0,0,2,1,MXC,10.0,2.0,3.0,2.0,RP,0,0,0,20,0.6,0,0,3,5,3,,5.0,16.7,0.0,60.0,40.0,0.0,0.0,15.0,10.0,40.0
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,0.0,21.6,10,0.5,0.6,0.625,1.225,0.0,10.8,0.0,21.60,0.0,0,0,2,2,0,0,0,0,1,0,1,4,0,0,0,14,2,8,0,59.0,20.4,3.4,20.0,0.0,0.0,,0.125,1,0,0,3,2,0,0,2,MXC,20.0,7.0,7.0,5.0,RP,0,0,2,34,0.5,0,0,4,8,4,0.0,5.9,14.3,37.5,62.5,0.0,0.0,-20.0,20.6,14.7,70.0
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,,4.91,42,0.19,0.214,0.243,0.457,13.09,3.27,0.82,4.09,4.0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,97,34,22,7,64.0,18.27,4.786,9.5,38.1,0.024,0.25,0.108,5,3,1,8,1,0,3,1,MXC,121.0,25.0,59.0,29.0,RP,1,16,4,201,0.135,0,1,5,37,6,16.7,16.9,35.1,27.3,40.9,18.2,13.6,28.6,29.4,14.4,59.5
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,0.0,5.06,23,0.333,0.304,0.3,0.604,13.5,1.69,0.0,6.75,8.0,5,1,2,1,1,0,0,1,2,0,0,2,2,0,0,45,16,12,0,63.0,17.81,4.13,4.3,34.8,0.0,0.125,0.1,2,0,0,6,0,0,3,1,MXC,60.0,12.0,30.0,14.0,RP,0,8,1,95,0.2,2,0,4,20,3,0.0,16.8,35.6,16.7,58.3,25.0,0.0,30.5,31.6,14.7,52.2
2024,674,Charros de Jalisco,511648,Antonio Garzon,1,,8.53,30,0.389,0.483,0.478,0.961,5.68,5.68,1.42,11.37,1.0,10,2,8,4,0,1,0,1,0,0,2,6,0,0,0,47,6,20,1,56.0,18.63,3.933,13.3,13.3,0.033,1.0,0.13,4,1,1,6,3,0,2,3,JAL,66.0,16.0,24.0,18.0,RP,1,4,4,118,0.348,2,0,8,23,6,14.3,5.1,12.8,35.0,45.0,15.0,5.0,0.0,20.3,15.3,53.3
2024,674,Charros de Jalisco,527054,Julio Teheran,1,0.5,11.68,65,0.349,0.415,0.5,0.915,7.3,5.11,2.19,13.14,1.43,0,0,4,4,5,0,0,0,1,0,1,11,1,0,0,107,19,46,9,61.0,20.03,3.8,10.8,15.4,0.046,0.7,0.179,6,2,3,17,9,0,2,7,JAL,151.0,39.0,62.0,43.0,SP,3,10,7,247,0.321,2,0,18,56,16,20.0,7.7,17.8,32.6,52.2,10.9,4.3,4.6,25.1,17.4,60.0
2024,674,Charros de Jalisco,570620,Ivan Zavala,1,,2.57,27,0.125,0.222,0.125,0.347,0.0,2.57,0.0,3.86,0.0,4,1,2,0,1,0,0,2,0,0,1,6,0,0,0,34,0,24,2,54.0,14.0,3.63,7.4,0.0,0.0,,0.0,10,4,0,7,3,0,0,0,JAL,53.0,12.0,19.0,19.0,RP,0,0,2,98,0.125,1,0,3,24,2,0.0,0.0,0.0,54.2,29.2,0.0,16.7,-7.4,19.4,19.4,44.4
2024,674,Charros de Jalisco,605446,Dereck Rodríguez,1,0.0,6.92,60,0.341,0.356,0.685,1.041,6.23,2.08,2.08,12.46,3.0,2,2,1,1,1,0,0,0,8,1,1,10,0,0,0,105,17,48,2,63.0,17.08,3.7,5.0,15.0,0.05,0.333,0.352,13,3,3,11,7,0,11,0,JAL,140.0,33.0,52.0,35.0,"SP, RP",3,9,3,222,0.333,0,2,18,54,10,15.0,7.7,16.2,41.7,22.9,29.2,6.2,10.0,23.4,15.8,55.0
2024,674,Charros de Jalisco,616405,Mario Meza,1,0.5,2.35,33,0.217,0.273,0.214,0.487,7.04,4.7,0.0,5.87,1.5,3,1,2,0,2,0,0,1,1,0,0,5,0,0,0,59,13,23,3,64.0,15.0,3.485,12.1,18.2,0.0,0.667,0.036,7,4,0,7,2,0,3,0,JAL,74.0,18.0,28.0,15.0,RP,0,6,4,115,0.179,0,1,5,28,2,0.0,11.3,22.0,39.1,30.4,13.0,17.4,6.1,24.3,13.0,54.5
2024,674,Charros de Jalisco,616617,Adrian Gusman,1,1.0,0.0,28,0.158,0.143,0.111,0.254,9.0,1.13,0.0,3.38,8.0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,61,18,19,8,67.0,14.75,4.214,3.6,28.6,0.0,0.125,0.0,2,1,3,10,0,0,0,3,JAL,79.0,18.0,36.0,18.0,RP,0,8,1,118,0.111,0,0,3,27,0,0.0,15.3,29.5,10.5,68.4,15.8,5.3,25.0,30.5,15.3,64.3
2024,674,Charros de Jalisco,620396,Miguel Aguilar,1,0.0,5.14,27,0.176,0.192,0.333,0.525,9.0,1.29,1.29,5.14,7.0,5,0,3,1,0,0,0,2,1,0,1,5,0,0,0,55,12,19,2,65.0,17.14,4.444,3.7,25.9,0.037,0.143,0.167,3,0,0,12,2,0,1,1,JAL,78.0,14.0,33.0,21.0,RP,1,7,1,120,0.167,0,1,4,24,4,20.0,10.0,21.8,26.3,68.4,5.3,0.0,22.2,27.5,17.5,51.9
2024,674,Charros de Jalisco,641461,Trevor Clifton,1,0.5,2.45,30,0.316,0.321,0.292,0.613,7.36,3.68,0.0,7.36,2.0,4,2,0,0,1,0,0,5,1,0,0,3,1,0,0,50,19,21,4,58.0,15.27,3.733,10.0,20.0,0.0,0.5,0.042,6,1,1,7,2,0,0,4,JAL,53.0,16.0,24.0,13.0,RP,0,6,3,112,0.25,0,1,6,24,2,0.0,17.0,38.0,38.1,52.4,4.8,4.8,10.0,21.4,11.6,53.3
2024,674,Charros de Jalisco,642574,Ronald Medrano,1,0.0,7.98,70,0.409,0.391,0.508,0.899,9.82,3.68,1.23,12.27,2.67,0,0,2,1,1,1,0,0,3,1,0,7,0,0,0,131,41,47,6,62.0,19.43,4.071,8.6,22.9,0.029,0.375,0.18,13,1,2,11,4,0,8,8,JAL,120.0,31.0,55.0,30.0,SP,2,16,6,285,0.328,1,1,20,61,13,11.8,14.4,31.3,36.2,40.4,21.3,2.1,14.3,19.3,10.5,44.3
2024,674,Charros de Jalisco,645179,Luis Ivan Rodriguez,1,0.0,2.57,84,0.278,0.301,0.351,0.652,8.14,2.14,0.86,7.29,3.8,0,0,0,0,2,1,1,0,3,0,4,14,1,0,0,156,42,57,10,67.0,15.9,3.976,6.0,22.6,0.024,0.263,0.122,8,5,2,25,4,1,5,7,JAL,224.0,54.0,108.0,66.0,SP,2,19,5,334,0.23,3,1,17,74,6,16.7,12.6,26.9,21.1,56.1,12.3,10.5,16.6,32.3,19.8,64.3
2024,674,Charros de Jalisco,645799,Isaac Jimenez,1,0.0,7.71,33,0.333,0.364,0.357,0.721,6.43,5.14,0.0,10.29,1.25,2,0,5,2,0,0,0,2,2,0,0,8,2,0,0,57,15,24,1,57.0,18.43,3.909,12.1,15.2,0.0,0.8,0.071,6,2,2,6,3,0,2,3,JAL,74.0,15.0,32.0,17.0,RP,0,5,4,129,0.286,0,1,8,28,6,0.0,11.6,26.3,37.5,37.5,16.7,8.3,3.1,24.8,13.2,45.5
2024,674,Charros de Jalisco,668155,Alberto Leyva,1,,7.2,27,0.385,0.481,0.55,1.031,10.8,10.8,1.8,10.80,1.0,11,4,5,0,1,0,0,0,2,0,1,4,0,0,0,35,11,14,2,52.0,20.6,3.815,22.2,22.2,0.037,1.0,0.25,3,1,1,3,0,0,2,4,JAL,54.0,18.0,30.0,19.0,RP,1,6,6,103,0.3,1,0,6,20,4,33.3,10.7,31.4,21.4,50.0,21.4,7.1,0.0,29.1,18.4,66.7
