season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,678,Tomateros de Culiacan,660420,Carlos Machorro,1,,12.0,14,0.4,0.429,0.333,0.762,6.0,6.0,0.0,12.00,1.0,0,0,2,2,0,0,0,1,0,0,1,5,0,0,0,22,5,10,2,60.0,17.67,3.786,14.3,14.3,0.0,1.0,0.0,2,0,0,4,1,0,1,2,CUL,32,8,15,10,RP,0,2,2,53,0.333,0,0,4,12,4,4,0.0,9.4,22.7,30.0,60.0,10.0,0.0,0.0,28.3,18.9,57.1
2024,678,Tomateros de Culiacan,664823,David Gutierrez,1,1.0,1.8,39,0.304,0.308,0.486,0.794,9.9,1.8,1.8,8.10,5.5,17,7,2,0,0,0,0,1,2,0,2,8,0,0,0,77,18,25,10,70.0,14.9,3.821,5.1,28.2,0.051,0.182,0.229,4,4,1,7,3,0,3,3,CUL,105,25,44,26,RP,2,11,2,149,0.257,1,1,9,35,2,2,28.6,12.1,23.4,28.0,40.0,16.0,16.0,23.1,29.5,17.4,64.1
2024,678,Tomateros de Culiacan,666017,Ruben Reyes,O,,4.15,18,0.3,0.444,0.5,0.944,6.23,6.23,2.08,8.31,1.0,4,1,3,1,0,0,0,1,0,0,2,4,1,0,0,36,11,11,0,59.0,16.85,4.056,16.7,16.7,0.056,1.0,0.214,2,2,0,3,1,0,1,2,CUL,43,8,18,7,RP,1,3,3,73,0.286,1,0,4,14,2,2,33.3,15.1,30.6,27.3,45.5,9.1,18.2,0.0,24.7,9.6,44.4
2024,678,Tomateros de Culiacan,668665,Stephen Nogosek,1,,0.0,51,0.281,0.196,0.18,0.376,11.57,0.64,0.0,5.79,18.0,0,0,0,0,1,0,0,12,0,0,1,2,1,0,0,117,36,32,1,73.0,13.93,3.824,2.0,35.3,0.0,0.056,0.0,9,5,2,7,1,0,3,5,CUL,142,41,61,25,RP,0,18,1,195,0.18,0,0,9,50,0,0,0.0,18.5,30.8,31.2,37.5,15.6,15.6,33.3,31.3,12.8,80.4
2024,678,Tomateros de Culiacan,669214,Conner Menez,1,0.5,4.66,85,0.26,0.393,0.394,0.787,6.52,8.38,0.93,6.98,0.78,0,0,1,1,0,1,1,0,3,1,3,15,2,0,1,134,24,53,13,57.0,18.05,4.106,21.2,16.5,0.024,1.286,0.167,10,6,2,20,4,0,6,5,CUL,198,44,88,64,SP,2,14,18,349,0.227,0,0,15,66,10,10,14.3,6.9,17.9,26.4,47.2,15.1,11.3,-4.7,25.2,18.3,51.8
2024,678,Tomateros de Culiacan,670986,Jose Bravo,1,1.0,3.29,50,0.207,0.224,0.326,0.55,9.88,1.98,1.32,5.27,5.0,0,0,2,0,1,0,1,0,1,0,1,5,0,0,0,87,27,32,13,68.0,13.32,3.64,6.0,30.0,0.04,0.2,0.152,9,1,2,12,2,0,3,3,CUL,124,35,64,37,"SP, RP",2,15,3,182,0.174,0,0,8,46,5,5,18.2,14.8,31.0,34.4,46.9,15.6,3.1,24.0,35.2,20.3,70.0
2024,678,Tomateros de Culiacan,674810,Victor Castaneda,1,1.0,2.2,127,0.217,0.27,0.322,0.592,5.51,2.76,0.83,6.34,2.0,0,0,2,0,0,2,4,0,3,1,3,17,0,0,0,210,46,96,26,64.0,14.14,3.638,7.9,15.7,0.024,0.5,0.122,33,12,4,24,3,0,11,9,CUL,296,75,130,84,SP,3,20,10,462,0.2,1,0,23,115,8,8,8.3,10.0,21.9,37.5,34.4,15.6,12.5,7.8,28.1,18.2,59.1
2024,678,Tomateros de Culiacan,678713,Efrain Contreras,1,,3.72,43,0.375,0.326,0.359,0.685,13.03,2.79,0.93,9.31,4.67,5,2,2,0,1,0,0,2,1,0,0,2,0,0,0,88,30,25,6,68.0,17.48,3.93,7.0,32.6,0.023,0.214,0.103,7,1,0,7,2,0,5,3,CUL,115,29,57,27,RP,1,14,3,169,0.256,1,0,10,39,4,4,11.1,17.8,34.1,36.0,40.0,20.0,4.0,25.6,33.7,16.0,67.4
2024,678,Tomateros de Culiacan,683124,Fernando Olguin,1,0.5,1.5,42,0.074,0.146,0.158,0.304,7.5,0.75,0.75,2.25,10.0,4,1,1,0,0,0,0,3,0,0,1,7,1,0,0,83,25,29,5,65.0,14.25,4.071,2.4,23.8,0.024,0.1,0.079,5,6,1,14,0,0,2,1,CUL,111,24,52,27,RP,1,10,1,171,0.079,2,0,3,38,2,1,20.0,14.6,30.1,17.2,51.7,10.3,20.7,21.4,30.4,15.8,57.1
2024,678,Tomateros de Culiacan,698962,Ricardo Estrada,1,,0.0,26,0.25,0.308,0.182,0.49,8.1,5.4,0.0,5.40,1.5,8,5,2,0,2,0,0,0,0,0,2,7,0,0,0,47,12,16,3,54.0,16.65,4.269,15.4,23.1,0.0,0.667,0.0,5,0,1,6,0,0,1,3,CUL,60,11,25,13,RP,0,6,4,111,0.182,0,0,4,22,0,0,0.0,10.8,25.5,31.2,56.2,12.5,0.0,7.7,22.5,11.7,42.3
2024,678,Tomateros de Culiacan,806317,Axel Sauceda,1,,4.91,17,0.333,0.313,0.357,0.67,7.36,2.45,0.0,9.82,3.0,3,1,0,0,1,0,0,3,1,0,0,5,0,0,0,43,6,13,1,70.0,19.09,4.118,5.9,17.6,0.0,0.333,0.071,4,3,0,2,1,0,2,1,CUL,49,12,12,6,RP,0,3,1,70,0.286,0,1,4,14,2,2,0.0,8.6,14.0,38.5,23.1,15.4,23.1,11.7,17.1,8.6,70.6
2024,678,Tomateros de Culiacan,827653,Luis Aguayo,1,,4.5,9,0.4,0.333,0.375,0.708,13.5,4.5,0.0,9.00,3.0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,18,10,5,0,64.0,16.5,3.667,11.1,33.3,0.0,0.333,0.125,0,1,1,1,1,0,0,1,CUL,21,5,13,3,RP,0,3,1,33,0.25,0,0,2,8,1,1,0.0,30.3,55.6,20.0,40.0,20.0,20.0,22.2,39.4,9.1,55.6
2024,678,Tomateros de Culiacan,828443,Diego Castro,1,,27.0,3,0.5,0.667,0.5,1.167,0.0,27.0,0.0,27.00,0.0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,4,1,2,0,54.0,39.0,4.333,33.3,0.0,0.0,,0.0,0,0,0,1,0,0,1,0,CUL,7,2,4,3,RP,0,0,1,13,0.5,0,0,1,2,1,1,,7.7,25.0,0.0,50.0,50.0,0.0,-33.3,30.8,23.1,66.7
2024,679,Venados de Mazatlan,465038,Alejandro Soto,1,,0.0,24,0.176,0.208,0.136,0.344,7.11,2.84,0.0,4.26,2.5,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,47,10,17,4,68.0,14.21,3.75,8.3,20.8,0.0,0.4,0.0,8,1,0,5,2,0,0,1,MAZ,61,15,23,13,RP,0,5,2,90,0.136,0,0,3,22,0,0,0.0,11.1,21.3,58.8,35.3,0.0,5.9,12.5,25.6,14.4,62.5
2024,679,Venados de Mazatlan,510554,Andres Ivan Meza,1,0.0,6.0,26,0.2,0.32,0.522,0.842,1.5,0.0,3.0,9.00,,7,1,0,0,0,0,0,3,0,0,0,2,1,0,0,35,1,23,6,61.0,13.83,3.192,0.0,3.8,0.077,,0.261,2,4,3,8,2,0,0,4,MAZ,51,12,17,16,RP,2,1,0,83,0.261,2,0,6,23,4,2,50.0,1.2,2.9,17.4,52.2,13.0,17.4,3.8,20.5,19.3,46.2
2024,679,Venados de Mazatlan,540988,Demetrio Gutierrez,1,,1.13,32,0.111,0.25,0.077,0.327,9.0,5.63,0.0,2.25,1.6,8,1,3,1,2,0,0,2,0,0,0,4,0,0,0,57,14,18,5,61.0,15.63,3.906,15.6,25.0,0.0,0.625,0.0,7,3,1,5,0,0,0,2,MAZ,76,20,33,19,RP,0,8,5,125,0.077,1,0,2,26,1,1,0.0,11.2,24.6,38.9,38.9,5.6,16.7,9.4,26.4,15.2,62.5
