season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,13,0,12,12,1,0,0,0,14,6,0,6,0,0.14,43,0.245,0.14,0.385,0,3,100.0,1,228,0.69,13.0,0,0,10,10,0,0,1,0.92,50,39,13,0,0,139,0.61,0,0,0,0,6,1.0,,17.54,12,2.33,9.69,4.15,4.15,0.69,0.0,0,0,0,1,0,MXC,13.0,0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,11,0,3,14,1,0,0,0,15,5,1,3,0,0.088,34,0.2,0.088,0.288,1,0,0.0,0,203,0.82,11.0,3,0,0,1,6,1,1,0.73,40,33,11,0,0,127,0.63,0,0,1,0,3,0.21,1.0,18.45,0,3.0,12.27,4.09,2.45,0.82,0.0,0,0,0,0,1,MXC,11.0,0
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,5,5,31,27,6,5,0,2,19,7,0,20,1,0.208,96,0.267,0.323,0.59,1,3,75.0,3,406,2.03,26.2,2,1,0,0,0,0,6,1.01,105,80,5,0,0,241,0.59,1,0,0,0,31,1.15,0.667,15.23,0,2.71,6.41,2.36,6.75,2.02,0.67,0,0,0,0,1,MXC,26.666666666666668,1
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,5,5,28,21,7,2,1,2,32,4,0,15,0,0.163,92,0.196,0.272,0.468,1,0,0.0,1,388,2.33,27.0,1,1,0,0,0,0,7,0.7,100,81,5,0,0,262,0.68,0,0,0,0,25,1.33,0.5,14.37,0,8.0,10.67,1.33,5.0,2.33,0.67,0,0,0,3,1,MXC,27.0,2
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,15,0,10,11,3,2,0,0,10,3,0,9,0,0.231,39,0.286,0.282,0.568,0,0,,1,160,2.53,10.2,2,0,0,0,5,0,3,1.13,43,32,15,0,0,102,0.64,0,0,1,0,11,0.91,1.0,15.0,2,3.33,8.44,2.53,7.59,2.53,0.0,11,3,0,1,0,MXC,10.666666666666666,0
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,6,6,32,38,12,5,0,1,32,6,0,31,2,0.242,128,0.283,0.305,0.588,1,1,50.0,2,521,2.91,34.0,3,1,0,0,0,0,11,1.09,141,102,6,0,0,339,0.65,2,0,1,0,39,0.84,0.75,15.32,0,5.33,8.47,1.59,8.21,3.18,0.26,0,0,0,3,2,MXC,34.0,1
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,RP,4,0,1,4,1,1,0,0,2,1,0,5,0,0.417,12,0.462,0.5,0.962,1,0,0.0,0,47,3.0,3.0,0,1,0,0,0,0,1,2.0,13,9,4,0,0,29,0.62,0,0,0,0,6,0.25,0.0,15.67,2,2.0,6.0,3.0,15.0,3.0,0.0,5,1,0,0,0,MXC,3.0,0
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,12,0,12,6,5,1,0,0,10,8,0,9,2,0.257,35,0.422,0.286,0.708,1,1,50.0,1,182,3.6,10.0,0,1,0,0,3,0,4,1.7,47,30,12,0,0,102,0.56,2,0,2,0,10,2.0,0.0,18.2,2,1.25,9.0,7.2,8.1,4.5,0.0,5,2,0,2,0,MXC,10.0,0
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,RP,13,0,9,10,6,1,0,1,16,5,0,7,0,0.171,41,0.255,0.268,0.523,0,1,100.0,0,219,3.75,12.0,0,0,0,0,9,0,5,1.0,47,36,13,0,0,139,0.63,0,0,0,0,11,0.9,,18.25,0,3.2,12.0,3.75,5.25,4.5,0.75,0,0,0,0,1,MXC,12.0,0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,RP,7,0,8,6,4,0,0,1,9,4,1,6,0,0.214,28,0.313,0.321,0.634,1,0,0.0,0,129,4.5,8.0,1,0,0,0,0,0,4,1.25,33,24,7,0,0,83,0.64,0,0,0,0,9,1.33,1.0,16.13,2,2.25,10.13,4.5,6.75,4.5,1.13,6,3,0,1,0,MXC,8.0,0
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,9,0,8,5,5,3,0,1,9,3,0,10,2,0.313,32,0.405,0.5,0.905,0,1,100.0,0,163,4.91,7.1,0,1,0,0,1,0,4,1.77,37,22,9,0,0,98,0.6,2,0,2,0,16,1.6,0.0,22.23,1,3.0,11.05,3.68,12.27,6.14,1.23,8,3,0,0,0,MXC,7.333333333333333,0
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,SP,4,4,20,13,9,6,1,0,13,4,0,17,1,0.27,63,0.324,0.397,0.721,1,6,85.7,1,270,4.96,16.1,1,1,0,0,0,0,9,1.29,68,49,4,0,0,170,0.63,1,0,2,0,25,1.54,0.5,16.53,0,3.25,7.16,2.2,9.37,4.96,0.0,0,0,0,0,0,MXC,16.333333333333332,0
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,RP,12,0,11,6,5,2,0,0,11,4,0,5,1,0.156,32,0.27,0.219,0.489,0,3,100.0,0,162,5.0,9.0,0,1,0,1,3,1,5,1.0,38,27,12,0,0,102,0.63,1,0,1,0,7,1.83,0.0,18.0,1,2.75,11.0,4.0,5.0,5.0,0.0,5,2,0,1,0,MXC,9.0,0
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,RP,4,0,8,5,3,1,0,1,2,3,0,4,1,0.211,19,0.348,0.421,0.769,0,0,,0,86,5.4,5.0,1,0,0,0,0,0,3,1.4,23,15,4,0,0,48,0.56,1,0,1,0,8,1.6,1.0,17.2,1,0.67,3.6,5.4,7.2,5.4,1.8,7,5,0,0,0,MXC,5.0,0
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,SP,4,4,12,11,10,1,0,4,16,9,0,13,1,0.255,51,0.377,0.51,0.887,0,2,100.0,3,263,5.79,14.0,0,1,0,0,0,0,9,1.57,62,42,4,0,0,150,0.57,1,0,0,0,26,1.09,0.0,18.79,0,1.78,10.29,5.79,8.36,6.43,2.57,0,0,0,1,0,MXC,14.0,0
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,RP,6,0,6,4,4,0,0,0,2,4,1,4,0,0.267,15,0.4,0.267,0.667,0,1,100.0,0,78,8.1,3.1,0,0,0,0,0,0,3,2.4,20,10,6,0,0,41,0.53,0,0,2,0,4,1.5,,23.4,1,0.5,5.4,10.8,10.8,10.8,0.0,7,3,0,0,1,MXC,3.3333333333333335,0
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,"SP, RP",3,1,6,1,6,6,0,0,4,3,0,9,0,0.45,20,0.522,0.75,1.272,0,0,,0,99,13.5,4.0,0,0,0,0,0,0,6,3.0,23,12,3,0,0,48,0.48,0,0,0,1,15,6.0,,24.75,0,1.33,9.0,6.75,20.25,13.5,0.0,1,1,0,0,0,MXC,4.0,0
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,RP,4,0,4,2,4,1,0,0,1,4,0,4,1,0.364,11,0.563,0.455,1.018,0,0,,1,59,13.5,2.2,0,1,0,0,0,0,4,3.0,16,8,4,0,0,33,0.56,1,0,0,0,5,2.0,0.0,22.13,1,0.25,3.38,13.5,13.5,13.5,0.0,0,0,0,0,0,MXC,2.6666666666666665,0
2024,673,Aguilas de Mexicali,820906,Reynaldo Alvarez,1,RP,2,0,0,2,4,2,0,1,1,1,0,5,1,0.625,8,0.7,1.25,1.95,0,0,,0,36,36.0,1.0,0,1,0,1,0,1,4,6.0,10,3,2,0,0,23,0.64,1,0,1,0,10,0.0,0.0,36.0,0,1.0,9.0,9.0,45.0,36.0,9.0,2,2,0,0,0,MXC,1.0,0
2024,674,Charros de Jalisco,677915,Dario Gardea,1,RP,9,0,7,9,1,1,0,0,8,4,0,6,2,0.2,30,0.333,0.233,0.566,0,0,,2,140,0.0,8.1,0,0,0,0,0,0,0,1.2,36,25,9,0,0,82,0.59,2,0,1,0,7,0.78,,16.8,6,2.0,8.64,4.32,6.48,1.08,0.0,0,0,0,0,0,JAL,8.333333333333334,0
