date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-12,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,1,3.467,1.589,121.84,113.26,1,Robert Stock,476594,Right,Allen Córdoba,642707,Right
2024-10-12,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,2,3.467,1.589,90.83,151.91,2,Robert Stock,476594,Right,Allen Córdoba,642707,Right
2024-10-12,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,2,3.467,1.589,118.7,138.87,3,Robert Stock,476594,Right,Allen Córdoba,642707,Right
2024-10-12,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,2,3.467,1.589,47.69,154.33,4,Robert Stock,476594,Right,Allen Córdoba,642707,Right
2024-10-12,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,1,3,3.467,1.589,89.93,143.7,5,Robert Stock,476594,Right,Allen Córdoba,642707,Right
2024-10-12,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.37,1.57,71.51,137.9,1,Robert Stock,476594,Right,Jonathan Araúz,660620,Left
2024-10-12,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,0,3.37,1.57,113.3,139.83,2,Robert Stock,476594,Right,Jonathan Araúz,660620,Left
2024-10-12,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.285,1.487,52.18,144.66,1,Robert Stock,476594,Right,Roberto Valenzuela,672438,Right
2024-10-12,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,0,3.285,1.487,45.44,130.65,2,Robert Stock,476594,Right,Roberto Valenzuela,672438,Right
2024-10-12,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,2,1,3.285,1.487,124.99,152.88,3,Robert Stock,476594,Right,Roberto Valenzuela,672438,Right
2024-10-12,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,3,1,3.285,1.487,54.43,159.64,4,Robert Stock,476594,Right,Roberto Valenzuela,672438,Right
2024-10-12,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,3,2,3.285,1.487,101.62,156.74,5,Robert Stock,476594,Right,Roberto Valenzuela,672438,Right
2024-10-12,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,3,2,3.285,1.487,96.23,155.78,6,Robert Stock,476594,Right,Roberto Valenzuela,672438,Right
2024-10-12,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.411,1.565,89.48,121.96,1,Odrisamer Despaigne,628333,Right,Jose Cardona,606580,Right
