date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-20,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,single,1,1,2.8,1.34,119.28,148.44,2,Carlos Tavera,679857,Right,Jorge Flores,592312,Right
2024-10-20,D,"In play, no out","rgba(26, 86, 190, 1.0)",False,False,single,1,1,2.8,1.34,88.16,124.88,3,Carlos Tavera,679857,Right,Jorge Flores,592312,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,force_out,1,0,3.301,1.504,117.53,213.46,1,Jose Carlos Medina,642375,Left,Drew Avans,682183,Left
2024-10-20,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,force_out,1,0,3.301,1.504,105.7,132.89,2,Jose Carlos Medina,642375,Left,Drew Avans,682183,Left
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.26,1.481,69.75,206.39,1,Jorge Perez,656839,Right,Luis Juarez,550492,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,0,3.26,1.481,83.34,82.47,2,Jorge Perez,656839,Right,Luis Juarez,550492,Right
2024-10-20,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,2,1,3.26,1.481,119.72,142.78,3,Jorge Perez,656839,Right,Luis Juarez,550492,Right
2024-10-20,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,2,1,3.26,1.481,101.31,122.52,4,Jorge Perez,656839,Right,Luis Juarez,550492,Right
2024-10-20,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.371,1.535,92.11,145.61,1,Jorge Perez,656839,Right,Asael Sanchez,661313,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,1,3.371,1.535,160.05,135.71,2,Jorge Perez,656839,Right,Asael Sanchez,661313,Right
