season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.0,0.77,44,0.304,0.209,0.22,0.429,13.89,1.54,0.0,5.40,9.0,0,0,3,0,1,0,1,0,2,0,1,3,0,0,0,95,35,24,0,67.0,15.51,4.114,4.5,40.9,0.0,0.111,0.049,4,4,2,7,0,0,2,5,MXC,122,29,60,25,SP,0,18,2,181,0.171,0.0,19.3,36.8,16.7,50.0,16.7,16.7,36.4,33.1,13.8,65.9
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,,1.8,19,0.083,0.158,0.125,0.283,9.0,3.6,0.0,1.80,2.5,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,37,10,12,1,63.0,16.2,4.263,10.5,26.3,0.0,0.4,0.063,4,0,0,7,0,0,1,0,MXC,51,10,24,14,SP,0,5,2,81,0.063,0.0,12.3,27.0,33.3,58.3,8.3,0.0,15.8,29.6,17.3,52.6
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,,0.0,14,0.286,0.214,0.154,0.368,13.5,2.25,0.0,4.50,6.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31,10,7,4,63.0,16.75,4.786,7.1,42.9,0.0,0.167,0.0,0,2,0,3,1,0,1,0,MXC,42,11,21,11,SP,0,6,1,67,0.154,0.0,14.9,32.3,14.3,42.9,14.3,28.6,35.8,31.3,16.4,78.6
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,2.25,16,0.25,0.25,0.2,0.45,6.75,2.25,0.0,6.75,3.0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,32,8,12,0,63.0,16.75,4.188,6.3,18.8,0.0,0.333,0.0,1,3,0,5,0,0,2,1,MXC,42,6,18,10,RP,0,3,1,67,0.2,0.0,11.9,25.0,8.3,50.0,16.7,25.0,12.5,26.9,14.9,37.5
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,1.0,3.72,39,0.321,0.308,0.361,0.669,7.45,1.86,0.0,8.38,4.0,0,0,1,0,3,1,0,0,4,0,1,5,2,0,0,70,15,28,5,63.0,16.55,4.103,5.1,20.5,0.0,0.25,0.111,5,2,3,9,2,0,5,2,MXC,101,21,46,31,SP,0,8,2,160,0.25,0.0,9.4,21.4,25.0,39.3,28.6,7.1,15.4,28.7,19.4,53.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,,0.0,15,0.5,0.533,0.5,1.033,6.0,3.0,0.0,15.00,2.0,4,1,3,0,0,1,0,1,1,0,0,1,0,0,0,21,2,10,0,58.0,17.33,3.467,6.7,13.3,0.0,0.5,0.083,2,0,0,3,1,0,3,1,MXC,30,8,11,9,RP,0,2,1,52,0.417,0.0,3.8,9.5,30.0,40.0,30.0,0.0,6.6,21.2,17.3,53.3
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,0.0,6,0.2,0.167,0.2,0.367,6.75,0.0,0.0,6.75,,2,2,1,0,0,0,0,1,0,0,0,2,0,0,0,15,1,5,0,68.0,18.75,4.167,0.0,16.7,0.0,,0.0,2,0,1,1,0,0,1,0,MXC,17,4,3,2,RP,0,1,0,25,0.2,0.0,4.0,6.7,40.0,20.0,40.0,0.0,16.7,12.0,8.0,66.7
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.0,14,0.143,0.143,0.077,0.22,13.5,2.25,0.0,2.25,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,13,7,2,68.0,17.0,4.857,7.1,42.9,0.0,0.167,0.0,2,3,0,1,0,0,1,0,MXC,46,9,22,9,RP,0,6,1,68,0.077,0.0,19.1,35.1,28.6,14.3,14.3,42.9,35.8,32.4,13.2,64.3
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,,0.0,5,0.0,0.25,0.0,0.25,6.75,0.0,0.0,0.00,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,2,3,1,65.0,12.75,3.4,0.0,20.0,0.0,,0.0,0,0,0,3,0,0,0,0,MXC,11,3,6,4,RP,0,1,0,17,0.0,,11.8,28.6,0.0,100.0,0.0,0.0,20.0,35.3,23.5,60.0
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,0.0,13,0.167,0.154,0.154,0.308,2.25,0.0,0.0,4.50,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,4,12,4,67.0,10.5,3.231,0.0,7.7,0.0,,0.0,5,1,0,4,0,0,1,1,MXC,28,9,10,6,RP,0,1,0,42,0.154,0.0,9.5,18.2,41.7,41.7,8.3,8.3,7.7,23.8,14.3,69.2
