season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.75,2.6,113,0.329,0.268,0.286,0.554,10.08,1.3,0.0,8.13,7.75,0,0,6,1,1,1,1,0,5,0,2,12,1,0,0,215,61,77,14,66.0,15.72,3.85,3.5,27.4,0.0,0.129,0.048,18,6,4,24,2,0,13,10,MXC,285,71,129,68,SP,0,31,4,435,0.238,1,2,25,105,8,7,0.0,14.0,28.4,26.0,44.2,22.1,7.8,23.9,29.7,15.6,62.8
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,1.0,2.14,77,0.217,0.189,0.229,0.418,10.29,1.29,0.43,4.71,8.0,0,0,0,0,0,1,1,0,2,0,1,11,0,0,0,141,39,50,6,67.0,14.29,3.896,3.9,31.2,0.013,0.125,0.071,11,4,4,20,0,0,7,4,MXC,200,47,98,59,SP,1,24,3,300,0.157,0,1,11,70,5,5,9.1,13.0,27.7,22.0,48.0,22.0,8.0,27.3,32.7,19.7,61.0
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,0.0,6.43,62,0.29,0.377,0.51,0.887,10.29,5.79,2.57,8.36,1.78,0,0,2,2,2,0,0,0,1,0,3,6,0,0,0,98,26,36,9,57.0,18.79,4.242,14.5,25.8,0.065,0.563,0.255,6,5,0,12,4,0,8,1,MXC,150,38,76,50,SP,4,16,9,263,0.255,1,0,13,51,10,9,40.0,9.9,26.5,27.8,36.1,22.2,13.9,11.3,28.9,19.0,61.3
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,0.75,47,0.214,0.261,0.15,0.411,9.0,4.5,0.0,4.50,2.0,0,0,0,0,3,0,0,11,0,0,1,7,0,0,0,96,24,29,0,60.0,17.58,4.489,12.8,25.5,0.0,0.5,0.0,5,5,1,12,0,1,4,1,MXC,126,21,54,30,RP,0,12,6,211,0.15,0,0,6,40,1,1,0.0,11.4,25.0,17.2,44.8,17.2,20.7,12.7,25.6,14.2,44.7
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,4.96,68,0.34,0.324,0.397,0.721,7.16,2.2,0.0,9.37,3.25,0,0,3,0,6,1,0,0,6,1,1,8,2,0,0,123,33,50,9,63.0,16.53,3.971,5.9,19.1,0.0,0.308,0.127,6,4,3,20,3,0,9,5,MXC,170,40,80,47,SP,0,13,4,270,0.27,1,0,17,63,9,9,0.0,12.2,26.8,18.0,50.0,24.0,8.0,13.2,29.6,17.4,58.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,0.0,3.52,37,0.4,0.444,0.321,0.765,9.39,7.04,0.0,9.39,1.33,5,2,7,2,1,1,0,1,1,0,0,4,2,0,0,52,10,21,2,57.0,17.74,3.676,16.2,21.6,0.0,0.75,0.036,3,2,0,8,1,0,5,2,MXC,78,19,32,22,RP,0,8,6,136,0.286,2,0,8,28,3,2,0.0,7.4,19.2,19.0,47.6,23.8,9.5,5.4,23.5,16.2,51.4
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,10.8,20,0.286,0.4,0.267,0.667,5.4,10.8,0.0,10.80,0.5,7,3,7,4,1,0,0,1,0,0,0,3,2,0,0,31,4,14,0,53.0,23.4,3.9,20.0,10.0,0.0,2.0,0.0,3,0,1,6,0,0,2,2,MXC,41,8,14,10,RP,0,2,4,78,0.267,0,1,4,15,4,3,0.0,5.1,12.9,21.4,57.1,21.4,0.0,-10.0,17.9,12.8,40.0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.82,40,0.15,0.2,0.088,0.288,12.27,4.09,0.0,2.45,3.0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,100,32,20,11,63.0,18.45,5.075,12.5,37.5,0.0,0.333,0.0,7,6,1,3,1,0,1,1,MXC,127,22,58,26,RP,0,15,5,203,0.088,0,1,3,34,1,1,0.0,15.8,32.0,40.0,20.0,10.0,30.0,25.0,28.6,12.8,55.0
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,1.0,7.36,17,0.154,0.353,0.5,0.853,0.0,4.91,2.45,7.36,0.0,5,3,2,2,0,0,0,0,1,0,0,1,1,0,0,32,4,14,5,56.0,18.0,3.882,11.8,0.0,0.059,,0.286,2,3,0,6,1,0,2,0,MXC,37,10,9,5,RP,1,0,2,66,0.214,1,0,3,14,3,3,33.3,6.1,12.5,21.4,42.9,14.3,21.4,-11.8,13.6,7.6,58.8
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,4.5,25,0.25,0.292,0.2,0.492,12.0,4.5,0.0,4.50,2.67,4,2,2,1,0,0,0,1,1,0,0,3,1,0,0,50,16,13,1,65.0,18.33,4.4,12.0,32.0,0.0,0.375,0.05,1,2,1,6,0,0,1,2,MXC,72,12,38,22,RP,0,8,3,110,0.15,1,0,3,20,3,3,0.0,14.5,32.0,7.7,61.5,15.4,15.4,20.0,34.5,20.0,48.0
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,3.12,36,0.32,0.314,0.313,0.627,7.27,3.12,0.0,8.31,2.33,9,2,2,1,0,0,0,2,2,0,1,5,1,0,0,65,16,26,4,66.0,14.65,3.528,8.3,19.4,0.0,0.429,0.063,6,3,0,9,0,0,4,4,MXC,84,24,34,18,RP,0,7,3,127,0.25,0,0,8,32,3,3,0.0,12.6,24.6,23.1,50.0,15.4,11.5,11.1,26.8,14.2,66.7
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,1.0,0.42,81,0.2,0.222,0.263,0.485,6.23,1.66,0.42,5.40,3.75,0,0,1,0,2,1,1,0,4,0,2,6,0,0,0,132,26,61,5,60.0,14.68,3.926,4.9,18.5,0.012,0.267,0.092,16,2,4,26,1,0,8,4,MXC,190,51,84,58,SP,1,15,4,318,0.171,1,0,13,76,1,1,5.9,8.2,19.7,27.9,49.2,19.7,3.3,13.6,26.4,18.2,63.0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,,3.0,25,0.267,0.292,0.364,0.656,9.0,3.0,1.5,7.50,3.0,4,3,0,0,0,0,0,2,0,0,0,4,0,0,0,40,10,17,1,65.0,14.17,3.4,8.0,24.0,0.04,0.333,0.136,2,1,1,8,1,0,3,1,MXC,92,26,36,21,RP,1,6,2,85,0.227,0,0,5,22,2,2,33.3,11.8,25.0,17.6,52.9,23.5,5.9,16.0,42.4,24.7,104.0
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,0.0,3.38,12,0.556,0.5,0.545,1.045,6.75,3.38,0.0,16.88,2.0,3,1,1,1,0,1,0,1,1,0,0,1,0,0,0,19,3,9,1,59.0,16.5,3.667,8.3,16.7,0.0,0.5,0.091,2,0,1,1,0,0,5,0,MXC,26,7,9,6,RP,0,2,1,44,0.455,0,0,5,11,1,1,0.0,6.8,15.8,22.2,11.1,66.7,0.0,8.4,20.5,13.6,58.3
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,,18.0,12,0.667,0.583,1.0,1.583,9.0,4.5,0.0,27.00,2.0,1,1,3,1,0,0,0,0,5,0,0,0,0,0,1,18,5,9,0,50.0,25.0,4.167,8.3,16.7,0.0,0.5,0.455,0,0,0,3,0,0,5,1,MXC,25,7,10,5,RP,0,2,1,50,0.545,0,0,6,11,4,4,,10.0,27.8,0.0,44.4,55.6,0.0,8.4,20.0,10.0,58.3
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,0.0,13.5,16,0.4,0.563,0.455,1.018,3.38,13.5,0.0,13.50,0.25,0,0,2,2,0,0,0,1,1,0,1,4,0,0,0,24,7,10,0,56.0,22.13,3.688,25.0,6.3,0.0,4.0,0.091,1,0,1,4,2,0,0,2,MXC,33,9,15,8,RP,0,1,4,59,0.364,1,0,4,11,4,4,0.0,11.9,29.2,30.0,60.0,10.0,0.0,-18.7,25.4,13.6,56.2
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,,4.5,47,0.24,0.255,0.268,0.523,12.0,3.75,0.75,5.25,3.2,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,104,35,26,7,63.0,18.25,4.66,10.6,34.0,0.021,0.313,0.098,6,3,1,9,1,0,4,2,MXC,139,29,70,35,RP,1,16,5,219,0.171,0,1,7,41,6,5,14.3,16.0,33.7,26.9,42.3,19.2,11.5,23.4,32.0,16.0,61.7
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,0.0,4.76,24,0.308,0.292,0.286,0.578,12.71,1.59,0.0,6.35,8.0,6,1,2,1,1,0,0,1,2,0,0,2,2,0,0,47,16,13,0,63.0,18.0,4.25,4.2,33.3,0.0,0.125,0.095,3,0,0,6,0,0,3,1,MXC,64,12,32,16,RP,0,8,1,102,0.19,2,0,4,21,3,2,0.0,15.7,34.0,23.1,53.8,23.1,0.0,29.1,31.4,15.7,50.0
2024,674,Charros de Jalisco,511648,Antonio Garzon,1,,7.71,32,0.368,0.452,0.458,0.91,6.43,5.14,1.29,10.29,1.25,13,3,8,4,0,1,0,2,0,0,2,7,0,0,0,51,9,21,1,58.0,17.86,3.906,12.5,15.6,0.031,0.8,0.125,5,1,1,6,3,0,2,3,JAL,72,18,29,20,RP,1,5,4,125,0.333,2,1,8,24,6,6,12.5,7.2,17.6,38.1,42.9,14.3,4.8,3.1,23.2,16.0,56.2
2024,674,Charros de Jalisco,527054,Julio Teheran,1,0.667,9.17,85,0.333,0.365,0.434,0.799,8.15,3.57,1.53,11.21,2.29,0,0,5,4,5,0,0,0,2,0,2,15,1,0,0,150,33,60,12,63.0,18.62,3.871,8.2,18.8,0.035,0.438,0.145,6,3,4,25,11,0,4,7,JAL,207,51,87,54,SP,3,16,7,329,0.289,2,0,22,76,18,17,17.6,10.0,22.0,28.3,53.3,13.3,5.0,10.6,26.4,16.4,60.0
2024,674,Charros de Jalisco,570620,Ivan Zavala,1,,2.25,31,0.143,0.226,0.143,0.369,0.0,2.25,0.0,4.50,0.0,4,1,2,0,1,0,0,2,0,0,1,6,0,0,0,38,0,28,2,55.0,13.25,3.419,6.5,0.0,0.0,,0.0,13,4,0,7,3,0,0,1,JAL,58,13,20,20,RP,0,0,2,106,0.143,1,0,4,28,2,0,0.0,0.0,0.0,57.1,28.6,0.0,14.3,-6.5,18.9,18.9,41.9
2024,674,Charros de Jalisco,605446,Dereck Rodríguez,1,0.0,6.92,60,0.341,0.356,0.685,1.041,6.23,2.08,2.08,12.46,3.0,2,2,1,1,1,0,0,0,8,1,1,10,0,0,0,105,17,48,2,63.0,17.08,3.7,5.0,15.0,0.05,0.333,0.352,13,3,3,11,7,0,11,0,JAL,140,33,52,35,"SP, RP",3,9,3,222,0.333,0,2,18,54,10,10,15.0,7.7,16.2,41.7,22.9,29.2,6.2,10.0,23.4,15.8,55.0
2024,674,Charros de Jalisco,616405,Mario Meza,1,0.5,2.16,37,0.269,0.297,0.25,0.547,7.56,4.32,0.0,7.56,1.75,3,1,2,0,2,0,0,1,1,0,0,6,0,0,0,67,16,26,3,64.0,15.6,3.514,10.8,18.9,0.0,0.571,0.031,8,4,0,7,2,0,3,2,JAL,83,19,32,16,RP,0,7,4,130,0.219,0,1,7,32,2,2,0.0,12.3,23.9,38.5,34.6,11.5,15.4,8.1,24.6,12.3,51.4
2024,674,Charros de Jalisco,616617,Adrian Gusman,1,1.0,0.0,34,0.125,0.118,0.091,0.209,8.1,0.9,0.0,2.70,9.0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,73,20,24,8,67.0,14.4,4.235,2.9,26.5,0.0,0.111,0.0,2,1,3,15,0,0,0,3,JAL,96,21,43,23,RP,0,9,1,144,0.091,0,0,3,33,0,0,0.0,13.9,27.4,8.3,75.0,12.5,4.2,23.6,29.9,16.0,61.8
2024,674,Charros de Jalisco,620396,Miguel Aguilar,1,0.0,5.14,27,0.176,0.192,0.333,0.525,9.0,1.29,1.29,5.14,7.0,5,0,3,1,0,0,0,2,1,0,1,5,0,0,0,55,12,19,2,65.0,17.14,4.444,3.7,25.9,0.037,0.143,0.167,3,0,0,12,2,0,1,1,JAL,78,14,33,21,RP,1,7,1,120,0.167,0,1,4,24,4,3,20.0,10.0,21.8,26.3,68.4,5.3,0.0,22.2,27.5,17.5,51.9
2024,674,Charros de Jalisco,641461,Trevor Clifton,1,0.5,2.16,34,0.318,0.313,0.286,0.599,7.56,3.24,0.0,7.56,2.33,4,2,0,0,1,0,0,6,1,0,0,4,1,0,0,56,21,24,4,59.0,15.24,3.735,8.8,20.6,0.0,0.429,0.036,6,2,1,8,2,0,0,5,JAL,75,20,40,19,RP,0,7,3,127,0.25,0,1,7,28,2,1,0.0,16.5,37.5,33.3,54.2,4.2,8.3,11.8,31.5,15.0,58.8
2024,674,Charros de Jalisco,642574,Ronald Medrano,1,0.0,7.98,70,0.409,0.391,0.508,0.899,9.82,3.68,1.23,12.27,2.67,0,0,2,1,1,1,0,0,3,1,0,7,0,0,0,131,41,47,6,62.0,19.43,4.071,8.6,22.9,0.029,0.375,0.18,13,1,2,11,4,0,8,8,JAL,178,44,88,47,SP,2,16,6,285,0.328,1,1,20,61,13,11,11.8,14.4,31.3,36.2,40.4,21.3,2.1,14.3,30.9,16.5,62.9
2024,674,Charros de Jalisco,645179,Luis Ivan Rodriguez,1,0.0,2.57,84,0.278,0.301,0.351,0.652,8.14,2.14,0.86,7.29,3.8,0,0,0,0,2,1,1,0,3,0,4,14,1,0,0,156,42,57,10,67.0,15.9,3.976,6.0,22.6,0.024,0.263,0.122,8,5,2,25,4,1,5,7,JAL,224,54,108,66,SP,2,19,5,334,0.23,3,1,17,74,6,6,16.7,12.6,26.9,21.1,56.1,12.3,10.5,16.6,32.3,19.8,64.3
2024,674,Charros de Jalisco,645799,Isaac Jimenez,1,0.0,7.04,35,0.333,0.343,0.333,0.676,8.22,4.7,0.0,9.39,1.75,3,0,5,2,0,0,0,2,2,0,0,8,3,0,0,64,18,24,1,58.0,18.65,4.086,11.4,20.0,0.0,0.571,0.067,6,2,2,6,3,0,2,3,JAL,83,17,37,19,RP,0,7,4,143,0.267,0,1,8,30,6,5,0.0,12.6,28.1,37.5,37.5,16.7,8.3,8.6,25.9,13.3,48.6
2024,674,Charros de Jalisco,668155,Alberto Leyva,1,,8.44,31,0.4,0.516,0.545,1.061,10.13,13.5,1.69,11.81,0.75,11,4,8,1,1,0,0,0,2,0,1,5,0,0,0,42,14,16,2,51.0,23.44,4.032,25.8,19.4,0.032,1.333,0.227,3,2,1,3,0,0,2,5,JAL,64,20,36,22,RP,1,6,8,125,0.318,1,0,7,22,5,5,33.3,11.2,33.3,18.8,50.0,18.8,12.5,-6.4,28.8,17.6,64.5
2024,674,Charros de Jalisco,672598,Alemao Hernandez,1,0.667,4.05,86,0.27,0.329,0.416,0.745,4.95,3.6,1.35,9.00,1.38,0,0,2,0,1,0,2,0,3,0,2,8,1,0,0,153,24,67,16,61.0,17.2,4.0,9.3,12.8,0.035,0.727,0.156,17,2,4,24,8,0,6,6,JAL,210,52,79,55,SP,3,11,8,344,0.26,0,0,20,77,9,9,12.0,7.0,15.7,37.3,44.8,14.9,3.0,3.5,23.0,16.0,60.5
2024,674,Charros de Jalisco,674478,Luis Payan,1,0.5,5.59,87,0.339,0.329,0.354,0.683,7.45,1.4,0.47,10.24,5.33,0,0,3,1,3,0,2,0,3,0,2,21,1,0,0,138,27,65,10,65.0,15.21,3.379,3.4,18.4,0.011,0.188,0.076,13,4,4,22,6,0,5,11,JAL,191,49,78,51,SP,1,16,3,294,0.278,3,0,22,79,12,8,5.3,9.2,19.6,29.2,50.8,13.8,6.2,15.0,26.5,17.3,56.3
2024,674,Charros de Jalisco,677915,Dario Gardea,1,,1.23,31,0.238,0.323,0.231,0.554,6.14,3.68,0.0,6.14,1.67,0,0,2,0,0,0,0,5,1,0,2,4,1,0,0,47,8,21,3,57.0,15.95,3.774,9.7,16.1,0.0,0.6,0.038,4,3,2,7,1,0,3,1,JAL,67,14,28,20,RP,0,5,3,117,0.192,2,0,5,26,1,0,0.0,6.8,17.0,23.8,38.1,23.8,14.3,6.4,23.9,17.1,45.2
2024,674,Charros de Jalisco,680048,Aldo Ramirez,1,,10.8,12,0.429,0.583,0.429,1.012,5.4,21.6,0.0,16.20,0.25,3,3,3,2,0,0,0,0,0,0,0,3,0,0,0,15,1,7,0,43.0,30.6,4.25,33.3,8.3,0.0,4.0,0.0,1,1,0,2,0,0,0,3,JAL,22,5,8,7,RP,0,1,4,51,0.429,0,1,3,7,2,2,0.0,2.0,6.7,14.3,71.4,0.0,14.3,-25.0,15.7,13.7,41.7
2024,674,Charros de Jalisco,686317,Edgar Manzo,1,,11.25,25,0.333,0.52,0.647,1.167,4.5,13.5,2.25,13.50,0.33,3,0,2,0,1,0,0,0,2,0,0,3,1,0,0,40,8,16,0,59.0,21.25,3.4,24.0,8.0,0.04,3.0,0.294,4,2,1,3,3,0,0,3,JAL,50,13,18,10,RP,1,2,6,85,0.353,1,1,6,17,5,5,14.3,9.4,20.0,43.8,37.5,6.2,12.5,-16.0,21.2,11.8,52.0
2024,674,Charros de Jalisco,691839,Joe Jones,1,,3.86,11,0.167,0.5,0.857,1.357,0.0,7.71,3.86,7.71,0.0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,15,2,8,10,53.0,16.29,3.455,18.2,0.0,0.091,,0.571,3,0,1,2,1,0,1,0,JAL,20,5,7,5,RP,1,0,2,38,0.286,1,0,2,7,1,1,25.0,5.3,13.3,50.0,25.0,25.0,0.0,-18.2,18.4,13.2,45.5
