season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.6,2.85,167,0.294,0.274,0.294,0.568,7.68,1.32,0.22,7.90,5.83,0,0,8,3,1,1,2,0,6,0,2,25,1,0,0,294,78,123,18,66.0,14.63,3.593,3.6,21.0,0.006,0.171,0.059,29,13,8,37,3,0,19,14,MXC,394,109,175,97,SP,1,35,6,600,0.235,3,2,36,153,13,12,3.1,13.0,26.5,26.0,41.5,22.0,10.6,17.4,29.2,16.2,65.3
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,0.333,2.53,121,0.208,0.212,0.282,0.494,10.13,1.69,0.84,5.06,6.0,0,0,0,0,0,1,2,0,2,1,1,13,1,0,0,231,63,78,7,66.0,14.97,3.959,5.0,29.8,0.025,0.167,0.118,15,5,5,35,0,0,13,5,MXC,318,74,148,85,SP,3,36,6,479,0.164,1,1,18,110,9,9,20.0,13.2,27.3,19.2,51.3,23.1,6.4,24.8,30.9,17.7,61.2
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,0.0,5.91,93,0.308,0.352,0.449,0.801,9.7,4.64,1.69,8.44,2.09,0,0,4,3,2,0,0,0,3,0,3,11,0,0,0,150,39,58,10,58.0,18.05,4.14,11.8,24.7,0.043,0.478,0.192,13,6,0,19,8,0,9,3,MXC,223,53,109,70,SP,4,23,11,385,0.256,1,1,20,78,14,13,19.0,10.1,26.0,36.2,37.9,15.5,10.3,12.9,28.3,18.2,57.0
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,0.0,1.17,60,0.243,0.254,0.226,0.48,9.39,3.52,0.0,5.28,2.67,1,1,0,0,3,0,0,14,1,1,1,7,0,0,0,124,35,38,0,62.0,17.41,4.45,10.0,26.7,0.0,0.375,0.057,7,5,3,14,1,1,5,2,MXC,165,27,76,41,RP,0,16,6,267,0.17,0,0,9,53,2,2,0.0,13.1,28.2,21.1,42.1,21.1,15.8,16.7,28.5,15.4,45.0
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,4.96,68,0.34,0.324,0.397,0.721,7.16,2.2,0.0,9.37,3.25,0,0,3,0,6,1,0,0,6,1,1,8,2,0,0,123,33,50,9,63.0,16.53,3.971,5.9,19.1,0.0,0.308,0.127,6,4,3,20,3,0,9,5,MXC,170,40,80,47,SP,0,13,4,270,0.27,1,0,17,63,9,9,0.0,12.2,26.8,18.0,50.0,24.0,8.0,13.2,29.6,17.4,58.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,0.0,3.75,55,0.379,0.396,0.279,0.675,10.5,6.0,0.0,8.25,1.75,5,2,10,4,1,1,0,2,1,0,1,6,2,0,0,84,21,31,8,57.0,18.5,4.036,14.5,25.5,0.0,0.571,0.023,4,3,0,13,1,0,6,4,MXC,127,28,60,39,RP,0,14,8,222,0.256,2,0,11,43,5,4,0.0,9.5,25.0,16.1,54.8,19.4,9.7,11.0,27.0,17.6,50.9
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,10.8,20,0.286,0.4,0.267,0.667,5.4,10.8,0.0,10.80,0.5,7,3,7,4,1,0,0,1,0,0,0,3,2,0,0,31,4,14,0,53.0,23.4,3.9,20.0,10.0,0.0,2.0,0.0,3,0,1,6,0,0,2,2,MXC,41,8,14,10,RP,0,2,4,78,0.267,0,1,4,15,4,3,0.0,5.1,12.9,21.4,57.1,21.4,0.0,-10.0,17.9,12.8,40.0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,2.08,51,0.269,0.255,0.205,0.46,13.15,3.46,0.0,4.85,3.8,1,0,1,1,0,1,0,1,0,1,0,5,2,0,0,122,41,26,11,64.0,18.38,4.686,9.8,37.3,0.0,0.263,0.045,9,6,1,3,1,0,3,3,MXC,154,29,71,30,RP,0,19,5,239,0.159,1,1,7,44,3,3,0.0,17.2,33.6,38.5,23.1,15.4,23.1,27.5,29.7,12.6,56.9
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,1.0,7.88,38,0.286,0.368,0.424,0.792,4.5,3.38,1.13,10.13,1.33,9,6,5,4,1,0,0,2,2,0,0,3,2,0,0,57,9,29,9,61.0,15.38,3.237,7.9,10.5,0.026,0.75,0.152,4,4,1,11,1,0,4,4,MXC,75,23,27,18,RP,1,4,3,123,0.273,2,0,9,33,7,6,20.0,7.3,15.8,17.2,51.7,17.2,13.8,2.6,22.0,14.6,60.5
2024,673,Aguilas de Mexicali,676362,Gabriel Ponce,1,,0.0,10,0.4,0.333,0.25,0.583,11.57,3.86,0.0,7.71,3.0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,17,4,6,0,63.0,15.0,3.5,10.0,30.0,0.0,0.333,0.0,2,0,0,2,1,0,1,0,MXC,22,5,9,5,RP,0,3,1,35,0.25,0,0,2,8,0,0,0.0,11.4,23.5,50.0,33.3,16.7,0.0,20.0,25.7,14.3,50.0
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,5.0,38,0.238,0.27,0.219,0.489,11.0,4.0,0.0,5.00,2.75,5,2,3,2,3,0,0,1,2,0,0,4,1,0,0,66,19,22,2,63.0,18.0,4.263,10.5,28.9,0.0,0.364,0.063,2,2,2,11,1,0,2,2,MXC,102,20,54,35,RP,0,11,4,162,0.156,1,0,5,32,5,5,0.0,11.7,28.8,13.6,59.1,18.2,9.1,18.4,33.3,21.6,52.6
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,2.84,51,0.286,0.28,0.283,0.563,7.82,2.84,0.0,7.11,2.75,11,3,2,1,0,0,0,2,3,0,1,5,1,0,0,97,29,36,5,62.0,15.55,3.863,7.8,21.6,0.0,0.364,0.065,9,4,0,13,1,0,5,4,MXC,123,31,54,25,RP,0,11,4,197,0.217,0,0,10,46,4,4,0.0,14.7,29.9,27.8,47.2,13.9,11.1,13.8,27.4,12.7,60.8
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,0.75,2.76,131,0.268,0.282,0.331,0.613,6.34,2.2,0.55,7.71,2.88,0,0,1,0,3,1,1,0,6,0,3,16,0,0,0,209,40,99,15,61.0,15.31,3.817,6.1,17.6,0.015,0.348,0.099,21,7,4,39,4,0,12,12,MXC,303,86,134,94,SP,2,23,8,500,0.231,1,1,28,121,10,10,8.0,8.0,19.1,25.3,51.5,16.2,7.1,11.5,26.8,18.8,65.6
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,1.0,3.38,42,0.24,0.268,0.278,0.546,9.28,3.38,0.84,5.91,2.75,8,4,2,2,0,1,0,2,0,0,0,6,1,0,0,79,22,27,2,65.0,15.47,3.929,9.5,26.2,0.024,0.364,0.083,4,1,4,11,1,1,3,2,MXC,145,35,62,35,RP,1,11,4,165,0.194,0,1,7,36,4,4,20.0,13.3,27.8,18.5,48.1,25.9,7.4,16.7,37.6,21.2,83.3
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,0.0,1.93,17,0.385,0.353,0.375,0.728,5.79,1.93,0.0,9.64,3.0,7,2,1,1,0,2,0,2,1,0,0,1,0,0,0,30,9,13,2,58.0,14.79,4.059,5.9,17.6,0.0,0.333,0.063,3,0,2,3,0,0,5,0,MXC,40,8,18,9,RP,0,3,1,69,0.313,0,0,5,16,1,1,0.0,13.0,30.0,23.1,23.1,53.8,0.0,11.7,26.1,13.0,47.1
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,,12.71,33,0.542,0.515,0.75,1.265,7.94,6.35,0.0,20.65,1.25,3,3,3,1,0,0,0,0,8,0,0,4,0,0,1,48,11,24,6,51.0,23.47,4.03,12.1,15.2,0.0,0.8,0.286,3,0,0,8,1,0,9,3,MXC,68,14,28,17,"SP, RP",0,5,4,133,0.464,0,1,13,28,8,8,0.0,8.3,22.9,16.7,45.8,37.5,0.0,3.1,21.1,12.8,42.4
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,0.0,11.57,26,0.375,0.538,0.444,0.982,3.86,11.57,0.0,11.57,0.33,0,0,2,2,0,0,0,1,2,0,2,6,0,0,0,34,8,16,0,54.0,19.71,3.538,23.1,7.7,0.0,3.0,0.111,3,1,1,5,2,0,1,3,MXC,50,15,23,15,RP,0,2,6,92,0.333,2,0,6,18,6,6,0.0,8.7,23.5,31.2,50.0,12.5,6.2,-15.4,25.0,16.3,57.7
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,,4.5,47,0.24,0.255,0.268,0.523,12.0,3.75,0.75,5.25,3.2,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,104,35,26,7,63.0,18.25,4.66,10.6,34.0,0.021,0.313,0.098,6,3,1,9,1,0,4,2,MXC,139,29,70,35,RP,1,16,5,219,0.171,0,1,7,41,6,5,14.3,16.0,33.7,26.9,42.3,19.2,11.5,23.4,32.0,16.0,61.7
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,0.0,5.0,44,0.385,0.386,0.447,0.833,11.0,4.0,1.0,11.00,2.75,10,3,7,1,1,0,0,1,3,0,0,4,2,1,0,85,24,27,1,60.0,21.78,4.455,9.1,25.0,0.023,0.364,0.158,5,0,1,10,2,0,6,3,MXC,117,23,55,31,RP,1,11,4,196,0.289,2,0,11,38,5,4,14.3,12.2,28.2,25.9,48.1,25.9,0.0,15.9,28.1,15.8,52.3
2024,673,Aguilas de Mexicali,820906,Reynaldo Alvarez,1,0.0,18.69,26,0.643,0.538,0.9,1.438,14.54,6.23,2.08,20.77,2.33,2,2,3,2,0,0,0,1,3,1,0,5,1,0,0,40,12,15,0,63.0,25.38,4.231,11.5,26.9,0.038,0.429,0.4,2,1,1,1,4,0,4,2,MXC,69,16,39,27,"SP, RP",1,7,3,110,0.5,1,2,10,20,9,8,16.7,10.9,30.0,40.0,20.0,33.3,6.7,15.4,35.5,24.5,61.5
