season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,12,0,12,11,1,0,0,0,12,6,0,6,0,0.15,40,0.261,0.15,0.411,0,3,100.0,1,211,0.75,12.0,0,0,10,10,0,0,1,1.0,47,36,12,0,0,126,0.6,0,0,0,0,6,1.09,,17.58,11,2.0,9.0,4.5,4.5,0.75,0.0,0,0,0,1,0,MXC,12.0,0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,11,0,3,14,1,0,0,0,15,5,1,3,0,0.088,34,0.2,0.088,0.288,1,0,0.0,0,203,0.82,11.0,3,0,0,1,6,1,1,0.73,40,33,11,0,0,127,0.63,0,0,1,0,3,0.21,1.0,18.45,0,3.0,12.27,4.09,2.45,0.82,0.0,0,0,0,0,1,MXC,11.0,0
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,5,5,31,27,6,5,0,2,19,7,0,20,1,0.208,96,0.267,0.323,0.59,1,3,75.0,3,406,2.03,26.2,2,1,0,0,0,0,6,1.01,105,80,5,0,0,241,0.59,1,0,0,0,31,1.15,0.667,15.23,0,2.71,6.41,2.36,6.75,2.02,0.67,0,0,0,0,1,MXC,26.666666666666668,1
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,4,4,20,19,5,2,0,1,24,3,0,11,0,0.157,70,0.189,0.229,0.418,1,0,0.0,1,300,2.14,21.0,1,0,0,0,0,0,5,0.67,77,63,4,0,0,200,0.67,0,0,0,0,16,1.05,1.0,14.29,0,8.0,10.29,1.29,4.71,2.14,0.43,0,0,0,3,1,MXC,21.0,1
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,10,0,10,5,3,1,0,0,8,7,0,8,2,0.267,30,0.436,0.3,0.736,1,1,50.0,1,150,2.16,8.1,0,1,0,0,3,0,2,1.8,40,25,10,0,0,85,0.57,2,0,2,0,9,2.0,0.0,18.0,1,1.14,8.64,7.56,8.64,3.24,0.0,5,2,0,1,0,MXC,8.333333333333334,0
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,5,5,24,28,8,5,0,0,31,4,0,25,1,0.238,105,0.268,0.286,0.554,1,1,50.0,2,435,2.28,27.2,3,1,0,0,0,0,7,1.05,113,83,5,0,0,285,0.66,1,0,1,0,30,0.86,0.75,15.72,0,7.75,10.08,1.3,8.13,2.6,0.0,0,0,0,1,2,MXC,27.666666666666668,1
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,RP,4,0,1,4,1,1,0,0,2,1,0,5,0,0.417,12,0.462,0.5,0.962,1,0,0.0,0,47,3.0,3.0,0,1,0,0,0,0,1,2.0,13,9,4,0,0,29,0.62,0,0,0,0,6,0.25,0.0,15.67,2,2.0,6.0,3.0,15.0,3.0,0.0,5,1,0,0,0,MXC,3.0,0
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,13,0,9,10,3,2,0,0,7,3,0,9,0,0.265,34,0.324,0.324,0.648,0,0,,1,133,3.0,9.0,2,0,0,0,5,0,3,1.33,38,27,13,0,0,87,0.65,0,0,1,0,11,0.9,1.0,14.78,2,2.33,7.0,3.0,9.0,3.0,0.0,10,3,0,1,0,MXC,9.0,0
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,RP,13,0,9,10,6,1,0,1,16,5,0,7,0,0.171,41,0.255,0.268,0.523,0,1,100.0,0,219,3.75,12.0,0,0,0,0,9,0,5,1.0,47,36,13,0,0,139,0.63,0,0,0,0,11,0.9,,18.25,0,3.2,12.0,3.75,5.25,4.5,0.75,0,0,0,0,1,MXC,12.0,0
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,8,0,7,5,4,3,0,1,8,2,0,8,2,0.286,28,0.375,0.5,0.875,0,1,100.0,0,139,4.05,6.2,0,1,0,0,1,0,3,1.5,32,20,8,0,0,87,0.63,2,0,2,0,14,1.4,0.0,20.85,1,4.0,10.8,2.7,10.8,5.4,1.35,8,3,0,0,0,MXC,6.666666666666667,0
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,SP,4,4,20,13,9,6,1,0,13,4,0,17,1,0.27,63,0.324,0.397,0.721,1,6,85.7,1,270,4.96,16.1,1,1,0,0,0,0,9,1.29,68,49,4,0,0,170,0.63,1,0,2,0,25,1.54,0.5,16.53,0,3.25,7.16,2.2,9.37,4.96,0.0,0,0,0,0,0,MXC,16.333333333333332,0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,RP,6,0,8,6,4,0,0,1,6,3,1,6,0,0.24,25,0.321,0.36,0.681,0,0,,0,100,5.4,6.2,0,0,0,0,0,0,4,1.35,29,20,6,0,0,64,0.64,0,0,0,0,9,1.33,,15.0,2,2.0,8.1,4.05,8.1,5.4,1.35,4,3,0,1,0,MXC,6.666666666666667,0
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,SP,4,4,12,11,10,1,0,4,16,9,0,13,1,0.255,51,0.377,0.51,0.887,0,2,100.0,3,263,5.79,14.0,0,1,0,0,0,0,9,1.57,62,42,4,0,0,150,0.57,1,0,0,0,26,1.09,0.0,18.79,0,1.78,10.29,5.79,8.36,6.43,2.57,0,0,0,1,0,MXC,14.0,0
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,RP,11,0,6,5,5,2,0,0,10,3,0,5,1,0.2,25,0.31,0.28,0.59,0,3,100.0,0,135,6.43,7.0,0,1,0,1,3,1,5,1.14,30,21,11,0,0,86,0.64,1,0,1,0,7,1.2,0.0,19.29,1,3.33,12.86,3.86,6.43,6.43,0.0,5,2,0,1,0,MXC,7.0,0
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,RP,3,0,6,5,3,1,0,1,0,2,0,3,1,0.214,14,0.353,0.5,0.853,0,0,,0,66,7.36,3.2,1,0,0,0,0,0,3,1.36,17,11,3,0,0,37,0.56,1,0,1,0,7,1.2,1.0,18.0,0,0.0,0.0,4.91,7.36,7.36,2.45,5,3,0,0,0,MXC,3.6666666666666665,0
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,RP,6,0,6,4,4,0,0,0,2,4,1,4,0,0.267,15,0.4,0.267,0.667,0,1,100.0,0,78,8.1,3.1,0,0,0,0,0,0,3,2.4,20,10,6,0,0,41,0.53,0,0,2,0,4,1.5,,23.4,1,0.5,5.4,10.8,10.8,10.8,0.0,7,3,0,0,1,MXC,3.3333333333333335,0
2024,673,Aguilas de Mexicali,699063,Pedro Santillan,1,RP,4,0,4,2,4,1,0,0,1,4,0,4,1,0.364,11,0.563,0.455,1.018,0,0,,1,59,13.5,2.2,0,1,0,0,0,0,4,3.0,16,8,4,0,0,33,0.56,1,0,0,0,5,2.0,0.0,22.13,1,0.25,3.38,13.5,13.5,13.5,0.0,0,0,0,0,0,MXC,2.6666666666666665,0
2024,673,Aguilas de Mexicali,692271,Jose Luis Reyes,1,RP,2,0,3,0,4,5,0,0,2,1,0,6,0,0.545,11,0.583,1.0,1.583,0,0,,0,50,18.0,2.0,0,0,0,0,0,0,4,3.5,12,6,2,0,0,25,0.5,0,0,0,1,11,3.0,,25.0,0,2.0,9.0,4.5,27.0,18.0,0.0,1,1,0,0,0,MXC,2.0,0
2024,674,Charros de Jalisco,677915,Dario Gardea,1,RP,8,0,7,9,1,1,0,0,5,3,0,5,2,0.192,26,0.323,0.231,0.554,0,0,,2,117,0.0,7.1,0,0,0,0,0,0,0,1.09,31,22,8,0,0,67,0.57,2,0,1,0,6,0.78,,15.95,5,1.67,6.14,3.68,6.14,1.23,0.0,0,0,0,0,0,JAL,7.333333333333333,0
2024,674,Charros de Jalisco,616617,Adrian Gusman,1,RP,10,0,15,7,0,0,0,0,9,1,0,3,0,0.088,34,0.114,0.088,0.202,0,0,,0,145,0.0,10.1,1,0,0,0,3,0,0,0.39,35,31,10,0,0,97,0.67,0,0,0,0,3,2.14,1.0,14.03,0,9.0,7.84,0.87,2.61,0.0,0.0,5,0,0,0,0,JAL,10.333333333333334,0
2024,674,Charros de Jalisco,802581,Alejandro Morales,1,RP,3,0,0,4,1,0,0,0,4,1,0,5,0,0.385,13,0.429,0.385,0.814,1,1,50.0,0,58,0.0,3.0,0,0,0,0,0,0,0,2.0,14,9,3,0,0,34,0.59,0,0,0,0,5,0.0,,19.33,0,4.0,12.0,3.0,15.0,3.0,0.0,1,1,0,0,0,JAL,3.0,0
2024,674,Charros de Jalisco,570620,Ivan Zavala,1,RP,5,0,7,17,2,0,0,0,0,2,0,4,1,0.143,28,0.226,0.143,0.369,0,1,100.0,1,106,0.0,8.0,0,0,0,0,0,0,0,0.75,31,24,5,0,0,58,0.55,1,0,0,0,4,0.41,,13.25,2,0.0,0.0,2.25,4.5,2.25,0.0,4,1,0,0,0,JAL,8.0,0
2024,674,Charros de Jalisco,641461,Trevor Clifton,1,RP,8,0,8,9,2,1,0,0,10,3,0,7,0,0.226,31,0.286,0.258,0.544,0,1,100.0,0,141,0.96,9.1,2,1,3,3,0,0,1,1.07,37,28,8,0,0,84,0.6,0,0,1,0,8,0.89,0.667,15.11,7,3.33,9.64,2.89,6.75,1.93,0.0,4,2,0,2,1,JAL,9.333333333333334,0
2024,674,Charros de Jalisco,616405,Mario Meza,1,RP,10,0,7,12,2,1,0,0,10,4,0,7,0,0.2,35,0.275,0.229,0.504,0,2,100.0,0,142,1.93,9.1,1,1,0,0,3,0,2,1.18,40,28,10,0,0,93,0.65,0,0,0,0,8,0.58,0.5,15.21,1,2.5,9.64,3.86,6.75,1.93,0.0,3,1,0,0,1,JAL,9.333333333333334,0
