season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,680,Yaquis de Obregon,605218,Carl Edwards Jr.,1,SP,4,4,23,32,3,3,0,1,16,6,0,13,0,0.159,82,0.213,0.232,0.445,0,0,,0,314,0.39,23.0,0,0,0,0,0,0,1,0.83,90,69,4,0,0,209,0.67,0,0,0,0,19,0.72,,13.65,0,2.67,6.26,2.35,5.09,1.17,0.39,0,0,0,1,1,OBR,23.0,3
2024,680,Yaquis de Obregon,678410,Saul Vazquez,1,"SP, RP",5,2,17,20,2,1,0,0,9,8,0,8,2,0.148,54,0.281,0.167,0.448,0,0,,3,231,1.1,16.1,1,0,0,0,0,0,2,0.98,64,49,5,0,0,146,0.63,2,0,1,0,9,0.85,1.0,14.14,1,1.13,4.96,4.41,4.41,1.1,0.0,0,0,0,0,0,OBR,16.333333333333332,0
2024,680,Yaquis de Obregon,616623,Edwin Fierro,1,RP,12,0,16,12,2,0,1,0,5,1,1,8,1,0.2,40,0.233,0.25,0.483,0,0,,5,149,1.42,12.2,1,1,1,1,1,0,2,0.71,43,38,12,0,0,101,0.68,1,0,0,0,10,1.33,0.5,11.76,2,5.0,3.55,0.71,5.68,1.42,0.0,3,0,0,0,1,OBR,12.666666666666666,0
2024,680,Yaquis de Obregon,693730,Ruben Salinas,8,RP,7,0,9,0,2,2,0,0,2,0,0,3,1,0.273,11,0.333,0.455,0.788,1,0,0.0,1,41,2.08,4.1,0,0,0,0,2,0,1,0.69,15,13,7,0,0,25,0.61,1,0,0,0,5,9.0,,9.46,2,,4.15,0.0,6.23,4.15,0.0,2,0,0,3,0,OBR,4.333333333333333,0
2024,680,Yaquis de Obregon,570666,Luis Cessa,1,SP,3,3,13,19,5,2,1,0,12,2,0,10,0,0.185,54,0.214,0.259,0.473,0,0,,0,177,2.45,14.2,1,0,0,0,0,0,4,0.82,56,44,3,0,0,121,0.68,0,0,0,0,14,0.68,1.0,12.07,0,6.0,7.36,1.23,6.14,3.07,0.0,0,0,0,0,0,OBR,14.666666666666666,1
2024,680,Yaquis de Obregon,592889,Ernesto Zaragoza,1,RP,5,0,2,1,2,1,0,0,6,2,1,5,0,0.357,14,0.438,0.429,0.867,1,3,75.0,0,57,3.0,3.0,0,1,0,0,1,0,1,2.33,16,9,5,0,0,37,0.65,0,0,3,0,6,2.0,0.0,19.0,1,3.0,18.0,6.0,15.0,6.0,0.0,4,3,0,0,0,OBR,3.0,0
2024,680,Yaquis de Obregon,542413,Felipe Gonzalez,1,RP,11,0,13,8,6,1,1,0,10,8,0,9,0,0.243,37,0.378,0.324,0.702,0,0,,0,190,3.6,10.0,2,3,0,0,3,0,4,1.7,48,30,11,0,0,112,0.59,0,0,0,0,12,1.63,0.4,19.0,3,1.25,9.0,7.2,8.1,5.4,0.0,0,0,0,3,0,OBR,10.0,0
2024,680,Yaquis de Obregon,445995,Arturo Lopez,1,SP,4,4,18,27,9,3,0,0,7,6,0,18,1,0.269,67,0.333,0.313,0.646,0,1,100.0,1,280,4.5,18.0,0,2,0,0,0,0,9,1.33,77,54,4,0,0,168,0.6,1,0,2,0,21,0.67,0.0,15.56,0,1.17,3.5,3.0,9.0,4.5,0.0,0,0,0,2,1,OBR,18.0,0
2024,680,Yaquis de Obregon,807848,Yuhi Sako,1,RP,1,0,1,5,1,0,0,0,0,0,0,3,0,0.333,9,0.333,0.333,0.666,0,0,,0,25,4.5,2.0,0,0,0,0,0,0,1,1.5,9,6,1,0,0,18,0.72,0,0,0,0,3,0.2,,12.5,0,,0.0,0.0,13.5,4.5,0.0,0,0,0,0,0,OBR,2.0,0
2024,680,Yaquis de Obregon,628333,Odrisamer Despaigne,1,SP,5,5,35,24,15,7,0,0,17,11,0,33,0,0.308,107,0.37,0.374,0.744,1,0,0.0,1,487,4.85,26.0,1,1,0,0,0,0,14,1.69,120,78,5,0,0,295,0.61,0,0,4,1,40,1.46,0.5,18.73,0,1.55,5.88,3.81,11.42,5.19,0.0,0,0,0,1,1,OBR,26.0,2
